magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,driver_class
 -765, 56.42,24.7,74.8,0,373, 813,4.40,0
 -432, 34.42,22.7,76.7,0,374, 813,4.40,0
 -614, 53.18,18.5,78.8,0,380,1018,5.06,0
 -276, 72.76,70.2,29.5,0,454, 998,4.22,0
 -291, 88.82,29.7,30.7,0,167, 819,6.90,0
-1190, 81.18,85.0,14.9,0,363,1024,4.29,0
 -738, 40.11,60.8,38.1,0,186, 928,6.40,0
 -554, 67.64,28.4,70.5,0,265, 868,4.32,0
 -848, 52.88,30.4,68.7,0,259, 867,4.40,0
-1230, 25.04,48.8,50.7,0,271, 871,4.30,0
 -696, 68.68,48.0,48.0,0,279, 873,4.30,0
-1703, 37.65,53.7,45.8,0,304, 879,4.20,0
-1019, 75.90,47.7,49.5,0,277, 873,4.30,0
 -576, 68.42,37.9,60.9,0,313, 881,4.20,0
 -734, 77.32,74.7,25.3,0,330, 885,4.10,0
 -813, 86.30,40.7,57.5,0,289, 876,4.28,0
 -587, 70.50,74.0,25.9,0,325, 885,4.12,0
-1133, 69.74,73.0,27.0,0,332, 886,4.10,0
-2175, 36.52,72.0,28.1,0,310, 881,4.18,0
 -647, 70.38,73.3,26.7,0,324, 885,4.10,0
-1117, 66.45,70.6,29.4,0,321, 884,4.12,0
 -690, 89.32,21.9,73.3,0,289, 877,4.30,0
-1615, 68.71,58.5,41.0,0,299, 880,4.20,0
 -716, 80.06,27.1,71.4,0,288, 877,4.30,0
 -795, 68.71,54.6,44.0,0,299, 880,4.20,0
 -856, 80.06,24.2,74.8,0,289, 878,4.30,0
 -882, 71.66,51.7,48.2,0,306, 882,4.20,0
 -598, 59.72,46.1,53.8,0,318, 885,4.20,0
 -540, 76.56,33.3,66.3,0,304, 882,4.22,0
-1888, 59.98,31.4,67.9,0,283, 922,3.20,0
-2050, 46.06,21.8,77.6,0,287, 923,3.20,0
-1942, 43.78,21.3,78.6,0,289, 923,3.20,0
-1851, 46.06,25.6,74.1,0,288, 924,3.20,0
-1720, 90.62,19.7,79.9,0,290, 924,3.20,0
-1476, 65.58,19.4,79.9,0,292, 925,3.20,0
-1707, 59.95,25.8,73.8,0,289, 925,3.20,0
-1428, 66.96,21.0,78.2,0,290, 925,3.20,0
 -956, 10.00,28.2,71.7,0,429, 950,5.50,1
-1353, 78.54,56.6,43.0,0,276, 894,5.16,1
-1050, 34.72,54.5,45.4,0,409, 979,2.80,1
 -983, 33.52,34.5,65.3,0,295, 888,5.75,1
-1210, 59.96,29.6,70.0,0,292, 802,4.48,1
-1167, 69.21,61.7,38.3,0,412,1024,3.00,1
 -623, 45.57,43.9,54.8,0,406, 974,3.40,1
-1254, 66.92,22.4,67.3,0,381, 815,3.24,1
-1315, 46.00,69.0,31.0,0,352, 894,4.04,1
-2575, 29.08,88.9,10.9,0,418,1098,5.58,1
 -974, 80.54,77.2,22.6,0,333,1127,3.69,1
 -774, 83.96,38.5,60.7,0,256, 915,3.37,1
 -914, 76.72,76.9,22.9,0,363,1165,3.65,1
 -666, 51.80,42.4,57.6,0,364, 921,5.30,1
 -855, 75.84,74.2,25.3,0,398, 947,4.69,1
 -835, 46.60,20.6,70.1,0,257, 878,5.92,1
 -885, 78.32,42.0,57.6,0,360, 961,2.90,1
 -531, 70.26,47.8,52.1,0,328, 823,4.00,1
-1004, 81.82,68.9,31.0,0,385, 962,2.88,1
 -870, 37.80,53.1,46.9,0,409, 926,5.20,1
 -765, 44.70,59.1,40.8,0,246, 988,4.40,1
-1215, 86.56,18.9,80.5,0,356, 931,4.80,1
 -889, 76.94,73.8,26.0,0,364,1053,3.30,1
 -814, 42.78,37.7,61.6,0,335,1050,3.64,1
-1491, 61.33,39.7,57.8,0,385, 899,3.93,1
-1135, 51.62,76.8,22.9,0,407, 856,4.44,1
 -707, 44.85,25.5,73.9,0,262,1011,4.10,1
 -924, 85.42,77.9,22.1,0,432,1379,4.83,1
 -953, 82.02,76.7,23.1,0,212, 829,6.62,1
