year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2017, 705, 88.42,58.3,41.65,0,266,1161,4.98, 926,5.54, 827,4.76, 957,3.88,62.7,60.0,33.2,58.0,24.6,57.0,45.1,60.0
2015, 664, 77.66,86.6,12.95,0,403, 853,4.21,1195,3.10,1180,3.73, 984,5.83,32.3,59.0,73.8,62.0,69.1,62.4,43.9,63.0
2012,1013, 49.68,70.8,29.17,0,454, 894,6.16, 991,5.22, 974,5.72,1085,3.86,32.2,62.0,46.5,63.0,43.6,63.0,62.1,60.0
2010, 604, 64.42,25.6,71.81,0,221, 860,6.65, 878,4.60, 961,4.70, 836,5.00,27.1,63.0,36.6,60.0,42.6,58.0,24.0,58.0
2013, 661, 77.70,64.2,35.76,1,421,1116,3.65, 925,5.57, 986,4.71, 951,5.32,60.6,60.0,35.0,60.0,45.4,61.0,41.2,62.0
2018, 645, 70.38,61.2,38.21,0,316,1144,5.56,1377,5.56, 983,6.13, 889,5.36,59.4,63.0,85.8,63.0,39.2,60.0,31.6,60.0
2019, 923, 81.92,57.8,41.16,0,292,1019,3.77, 948,4.93,1179,4.96, 936,5.53,49.1,58.0,38.5,61.0,64.7,61.0,34.6,58.0
2007,1007, 62.06,77.5,22.43,0,459, 882,4.38,1051,5.47, 870,4.78, 931,3.75,33.3,59.0,53.9,62.0,30.2,58.0,44.7,60.0
2013, 545, 46.90,69.7,30.13,0,377,1035,4.18, 851,6.06, 956,5.20, 913,5.82,52.0,61.0,26.3,61.0,41.9,62.0,36.2,62.5
2013, 711, 80.02,81.4,18.26,0,423,1198,3.71, 991,5.72,1020,4.82, 989,5.51,69.9,61.0,43.3,62.0,49.2,62.0,46.6,64.0
2012, 535, 71.53,21.2,76.78,0,218, 852,6.28, 945,5.45, 858,6.20, 876,4.15,24.0,59.0,38.2,61.0,28.1,62.0,37.2,58.0
2006, 780, 67.34,80.5,19.55,0,325,1053,5.49, 879,4.89, 902,3.60,1021,3.60,54.0,63.0,31.5,59.0,42.6,60.0,53.6,60.0
2012,1059, 76.92,82.8,17.01,0,502, 888,5.90, 987,5.00, 969,5.51,1063,3.60,32.4,62.0,47.0,63.0,44.0,63.0,60.7,60.0
2016, 483, 82.92,80.3,18.41,0,357,1022,6.06, 938,5.06,1225,3.96,1242,4.82,45.0,60.0,38.7,60.0,74.2,62.0,71.8,62.0
2010,1005, 70.13,67.8,31.94,0,457, 962,5.49,1033,3.56,1145,3.70, 884,4.09,42.7,63.0,57.2,60.0,66.6,59.0,33.7,58.0
2018,1289, 24.75,51.4,47.16,0,381, 897,4.00,1081,4.10, 916,4.70, 828,3.80,35.4,59.0,56.5,59.0,35.2,57.0,27.4,55.0
2012, 873, 74.76,83.9,15.90,0,517, 976,5.81,1053,4.90,1039,5.40,1112,3.58,41.4,62.0,53.2,62.0,51.2,63.0,65.7,60.0
2015, 849, 76.84,84.4,15.56,0,490, 919,4.33,1093,3.30,1142,4.10, 923,6.04,38.5,59.0,62.7,61.0,64.3,62.0,35.8,62.0
2014, 666, 79.94,91.1, 8.71,0,407,1219,3.21,1208,3.85, 996,5.95,1027,5.03,76.1,62.0,71.6,62.5,44.7,63.0,50.3,63.0
2021,1086, 84.26,84.2,15.59,0,429, 837,5.40, 954,4.58, 990,2.78, 917,3.88,27.8,58.0,44.9,58.0,50.3,58.0,38.6,59.0
2006, 747, 65.62,78.0,22.00,0,446,1102,5.43, 952,4.80, 987,3.70,1137,3.60,58.9,63.0,38.6,58.0,50.4,60.0,65.4,59.0
