year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2020, 596.9, 84.26,83.6,16.16,0,480,1067,4.93,1139,2.93,1024,4.08,1226,4.17,55.9,60.0,65.9,58.0,50.0,60.7,73.3,61.0
2011, 464.1, 84.93,51.7,47.42,0,163, 940,5.90, 840,6.73, 851,4.63, 937,4.80,37.1,62.0,25.2,63.0,33.9,60.0,40.2,58.0
2021, 648.1, 78.78,28.1,71.26,1,234, 786,6.34, 916,5.54, 957,3.60, 890,4.74,18.5,57.0,36.1,57.0,42.9,56.0,32.1,59.0
2007, 466.6, 79.91,53.5,43.08,0,361, 979,5.13,1079,6.03, 940,5.34, 988,4.32,41.1,60.0,54.8,63.0,35.5,58.0,48.7,60.0
2021, 871.3, 85.40,76.9,23.02,0,478,1009,5.74,1110,5.09,1241,3.20,1073,4.34,46.9,60.8,61.3,61.0,77.0,60.0,55.8,62.0
2015, 560.0, 71.24,53.6,46.18,0,335, 822,4.27,1116,3.20,1129,3.81, 952,5.88,26.6,57.0,63.6,60.0,61.6,60.9,37.9,61.0
2011, 622.0, 82.98,83.2,16.80,0,475, 988,5.09, 975,5.60,1077,3.70,1186,3.84,46.6,63.0,44.1,63.0,61.6,60.0,70.9,59.0
2012, 345.5, 59.48,67.3,32.66,0,472, 913,6.07, 999,5.13, 989,5.60,1094,3.76,34.3,62.0,47.5,63.0,45.4,63.0,63.2,60.0
2014,1185.5, 71.18,88.9,10.76,0,502,1143,3.12,1190,3.92, 958,5.90,1036,5.00,68.0,61.0,69.3,61.0,39.7,62.0,51.7,62.8
2010, 518.9, 75.28,84.0,15.69,0,454,1041,5.61,1106,3.81,1286,3.95, 971,4.41,50.9,63.0,64.4,60.1,80.9,60.0,42.2,59.0
2017, 398.2, 82.36,76.1,23.94,0,392,1267,4.70, 961,5.28, 868,4.48,1010,3.53,76.3,62.0,39.3,59.0,31.7,58.0,53.0,61.0
2016, 571.2, 79.04,73.0,26.98,0,290, 898,5.01, 813,4.19, 955,3.31,1015,3.91,31.8,57.0,24.4,55.0,45.5,59.0,48.6,59.0
2011,1051.4, 94.50,70.8,28.51,0,195, 948,5.80, 847,6.60, 859,4.50, 946,4.62,38.3,62.0,26.5,63.0,35.2,60.0,41.5,58.0
2012,1323.8, 84.04,78.3,21.60,0,407, 850,6.29, 961,5.39, 936,5.97,1022,3.99,26.5,62.0,42.6,63.0,38.7,63.0,54.8,60.0
2010, 388.0, 21.58,46.1,52.90,0,345, 903,5.40, 922,3.40,1062,3.54, 897,3.90,35.6,62.0,44.6,58.0,56.6,57.0,33.9,57.0
2011, 197.4, 60.64,28.4,70.53,0,265, 949,4.92, 872,5.70, 887,3.67,1009,3.80,39.2,59.0,30.7,61.0,39.4,57.0,49.4,56.0
2009, 725.3, 49.06,30.3,69.38,0,307, 894,3.50,1014,3.67, 872,4.00,1008,5.00,40.8,58.0,50.6,56.0,30.4,56.0,47.6,60.0
