pix,year,brk,brkdate25,brkdate,brkdate95,magnitude,no_brk,fire_year,harv_year,insc_year,hansen_year,canlad_year,for_age,for_con,for_pro,elev,cmd,cmd_lag1,cmd_lag2,cmd_lag3,cmi,cmi_lag1,cmi_lag2,cmi_lag3,cmi_sm,cmi_sm_lag1,cmi_sm_lag2,cmi_sm_lag3,cmi_wt,cmi_wt_lag1,cmi_wt_lag2,cmi_wt_lag3,dd1040,dd1040_lag1,dd1040_lag2,dd1040_lag3,dd18,dd18_lag1,dd18_lag2,dd18_lag3,dd18_sm,dd18_sm_lag1,dd18_sm_lag2,dd18_sm_lag3,dd5,dd5_lag1,dd5_lag2,dd5_lag3,dd5_wt,dd5_wt_lag1,dd5_wt_lag2,dd5_wt_lag3,dd_0,dd_0_lag1,dd_0_lag2,dd_0_lag3,dd_0_wt,dd_0_wt_lag1,dd_0_wt_lag2,dd_0_wt_lag3,dd_18,dd_18_lag1,dd_18_lag2,dd_18_lag3,dd_18_sm,dd_18_sm_lag1,dd_18_sm_lag2,dd_18_sm_lag3,eref,eref_lag1,eref_lag2,eref_lag3,ffp,ffp_lag1,ffp_lag2,ffp_lag3,map,map_lag1,map_lag2,map_lag3,mat,mat_lag1,mat_lag2,mat_lag3,msp,msp_lag1,msp_lag2,msp_lag3,nffd,nffd_lag1,nffd_lag2,nffd_lag3,nffd_wt,nffd_wt_lag1,nffd_wt_lag2,nffd_wt_lag3,pas,pas_lag1,pas_lag2,pas_lag3,pas_sm,pas_sm_lag1,pas_sm_lag2,pas_sm_lag3,pas_wt,pas_wt_lag1,pas_wt_lag2,pas_wt_lag3,ppt_sm,ppt_sm_lag1,ppt_sm_lag2,ppt_sm_lag3,ppt_wt,ppt_wt_lag1,ppt_wt_lag2,ppt_wt_lag3,rh,rh_lag1,rh_lag2,rh_lag3,rh_sm,rh_sm_lag1,rh_sm_lag2,rh_sm_lag3,rh_wt,rh_wt_lag1,rh_wt_lag2,rh_wt_lag3,rad_sm,rad_sm_lag1,rad_sm_lag2,rad_sm_lag3,rad_wt,rad_wt_lag1,rad_wt_lag2,rad_wt_lag3,td,td_lag1,td_lag2,td_lag3,tave_sm,tave_sm_lag1,tave_sm_lag2,tave_sm_lag3,tave_wt,tave_wt_lag1,tave_wt_lag2,tave_wt_lag3,bffp,bffp_lag1,bffp_lag2,bffp_lag3,effp,effp_lag1,effp_lag2,effp_lag3
387448,2005,0,2004.435,2004.87,2004.957,961.399,,,,,,,75.361,39.231,0,343.582,264.151,162.77,149.096,192.165,21.622,34.318,45.541,31.277,-12.171,-3.287,-5.919,-5.993,16.47,18.632,15.365,12.955,1088.513,797.808,909.579,940.579,233.592,95.748,142.438,154.947,201.947,65.399,116.881,129.313,1994.229,1697.114,1768.344,1744.827,6.0,7.0,6.0,10.0,1176.969,1243.315,1318.221,920.838,963.753,968.571,1084.288,534.716,4893.843,5141.144,5225.723,4829.231,71.601,229.053,140.97,140.119,730.548,666.614,674.536,668.536,137.217,118.837,122.217,121.837,805.013,847.002,958.948,831.002,5.105,4.065,3.913,5.105,353.681,391.452,475.955,397.452,150.412,153.837,152.229,138.217,0.0,0.0,0.0,2.0,243.616,219.013,232.599,203.484,0.0,0.0,0.0,0.0,187.031,146.518,116.798,111.386,224.934,235.518,242.518,256.518,190.798,156.163,119.452,159.518,57.0,59.0,59.0,61.0,60.0,63.0,62.0,60.0,50.0,54.0,50.0,60.0,14.777,17.616,17.335,25.21,12.516,14.045,14.016,5.616,33.3,34.7,33.5,26.6,19.384,16.205,17.707,17.884,-10.549,-10.435,-11.916,-5.293,136.0,150.0,145.0,144.783,273.0,269.0,267.509,266.0
123331,2004,0,2003.826,2003.957,2004.043,1613.389,,,,,,,72.857,57.147,0,192.367,225.132,138.815,239.687,279.315,22.113,38.256,21.9,19.133,-6.867,-5.208,-9.975,-11.322,16.354,13.006,12.075,16.218,907.551,1037.551,1039.497,1075.812,134.169,197.328,207.627,200.484,98.13,164.468,175.028,172.028,1829.639,1920.998,1864.639,2034.259,6.0,5.0,10.039,3.0,1276.488,1331.449,959.449,918.488,988.618,1106.579,560.477,998.579,5068.224,5123.903,4796.739,4504.263,179.831,101.026,111.026,90.646,687.713,696.674,686.354,731.174,123.0,127.0,124.0,135.0,754.646,917.646,764.646,783.646,4.4,4.364,5.331,6.1,368.961,474.961,363.365,370.646,157.0,155.0,142.039,168.0,0.0,0.0,1.0,0.0,196.011,188.826,188.326,214.326,0.0,0.0,0.0,0.0,140.0,89.685,107.685,177.685,218.961,266.685,231.961,226.685,148.365,91.961,150.685,181.961,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.961,55.0,50.039,60.0,52.0,16.9,17.068,24.1,21.2,12.246,12.358,3.8,9.1,36.0,34.6,28.2,30.5,17.104,18.631,18.664,18.831,-10.696,-12.196,-5.6,-10.996,147.365,143.0,143.224,137.961,270.635,269.315,267.039,272.039
124272,2004,0,2004.0,2004.043,2004.13,458.737,,,,,2004,,68.81,62.192,0,248.139,213.06,133.145,219.802,260.458,25.514,40.888,26.161,24.092,-5.643,-4.704,-9.364,-9.939,16.707,13.331,13.288,17.083,831.109,959.959,970.7,1000.959,109.717,161.867,173.44,164.688,77.458,133.374,144.867,140.867,1730.911,1826.502,1775.832,1934.567,6.0,4.0,9.0,3.0,1344.529,1404.035,1030.873,975.529,1033.56,1153.74,600.56,1045.331,5230.106,5275.943,4949.106,4644.847,212.626,124.283,131.283,112.283,678.144,687.229,677.723,721.144,118.229,123.0,120.0,130.0,773.362,929.133,791.036,816.198,3.857,3.823,4.823,5.615,375.248,477.277,370.935,384.771,151.573,153.0,136.229,163.229,0.0,0.0,1.0,0.0,216.283,211.427,213.198,226.277,0.0,0.0,0.0,0.0,142.427,99.427,122.771,183.427,224.771,265.248,231.85,232.771,148.0,101.0,159.771,187.0,58.0,58.0,59.0,59.0,61.0,60.0,59.0,58.0,53.0,49.0,59.0,50.0,16.709,17.0,24.0,20.9,12.185,12.126,3.526,8.826,36.0,34.5,28.3,30.391,16.523,18.091,18.115,18.3,-11.277,-12.743,-6.2,-11.5,150.427,145.0,146.0,140.0,269.0,268.0,266.0,270.573
124360,2004,0,2003.826,2003.957,2004.043,1662.038,,,,,,,70.188,55.454,0,192.387,225.514,138.972,240.155,279.293,22.109,38.253,21.873,19.073,-6.878,-5.217,-9.98,-11.343,16.359,13.011,12.057,16.21,908.34,1038.34,1039.822,1076.378,134.673,197.469,207.652,200.943,98.49,164.783,175.287,172.287,1830.874,1921.764,1865.764,2034.984,6.0,5.0,10.182,3.0,1275.317,1330.207,958.134,917.317,987.807,1105.625,559.421,997.697,5066.136,5122.071,4794.712,4502.166,179.327,101.166,111.166,90.437,687.906,696.906,686.628,731.044,123.182,126.752,124.0,134.928,754.62,917.51,764.262,783.342,4.375,4.361,5.352,6.111,368.89,474.955,363.276,370.276,157.11,155.182,142.182,167.752,0.0,0.0,1.0,0.0,195.648,188.955,188.166,214.372,0.0,0.0,0.0,0.0,140.066,89.482,107.372,177.482,218.89,266.554,231.89,226.482,148.482,91.818,150.482,181.89,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.818,55.0,50.182,60.0,52.0,16.9,17.0,24.1,21.2,12.2,12.3,3.8,9.1,36.0,34.6,28.2,30.5,17.111,18.652,18.661,18.852,-10.689,-12.182,-5.589,-10.989,147.386,143.0,143.248,137.818,270.614,269.518,267.182,272.182
308165,2005,0,2005.348,2005.391,2006.087,672.967,,,,,,,82.398,31.434,0,429.777,248.235,160.04,125.813,163.157,28.249,38.88,52.979,39.323,-10.6,-2.034,-4.475,-5.782,18.443,19.689,16.497,16.201,1000.836,712.164,830.086,864.164,189.523,76.617,112.734,124.157,163.312,50.039,91.117,103.157,1881.648,1581.649,1663.992,1642.531,5.0,6.0,5.0,8.0,1280.797,1361.048,1434.892,1046.009,1036.57,1039.57,1158.57,598.36,5101.478,5385.468,5442.322,5066.744,92.844,267.726,170.843,165.843,716.157,635.619,644.157,655.117,132.0,114.0,118.0,117.039,851.107,873.685,1015.989,891.145,4.412,3.312,3.216,4.4,368.42,397.883,488.843,405.843,143.039,147.117,149.117,132.0,0.0,0.0,0.0,1.0,279.473,272.568,291.263,258.687,0.0,1.0,0.0,0.0,203.882,157.843,141.96,142.552,231.883,242.0,249.883,251.883,206.842,163.842,144.63,183.999,57.0,59.0,58.0,60.0,60.0,62.0,61.0,60.0,49.0,53.0,48.0,59.0,15.604,18.6,17.196,25.096,12.967,14.121,13.963,4.721,33.488,35.1,33.7,27.1,18.712,15.6,17.112,17.304,-11.396,-11.363,-12.796,-6.163,139.0,153.0,148.0,147.883,271.0,267.0,266.0,265.0
309353,2005,0,2004.609,2004.652,2005.174,1181.679,,,,,2005,,96.708,16.908,0,376.968,264.187,169.132,133.443,199.861,22.187,33.18,46.174,30.834,-12.631,-3.74,-4.613,-6.105,16.173,18.438,14.871,12.792,1071.329,776.829,893.829,918.628,226.295,91.919,137.574,147.744,195.659,62.895,112.55,123.55,1970.119,1665.378,1747.074,1712.074,5.0,6.201,5.0,9.0,1227.085,1301.958,1373.366,979.281,1012.117,1001.51,1119.916,566.117,4974.102,5234.683,5306.707,4931.183,75.086,236.14,144.45,147.945,726.029,663.831,671.005,664.66,136.109,117.109,121.109,120.0,807.536,832.862,963.341,821.886,4.872,3.811,3.711,4.811,354.278,389.255,488.34,393.69,149.109,151.109,152.0,136.0,0.0,0.0,0.0,1.0,244.69,232.25,228.237,212.127,0.0,0.0,0.0,0.0,181.808,150.891,109.891,116.891,220.891,232.891,256.278,255.776,184.0,158.714,112.0,158.696,57.0,59.0,59.0,60.0,60.0,62.0,61.0,60.0,50.0,55.0,50.0,60.0,14.9,17.7,16.8,25.0,11.9,13.4,13.4,4.119,33.8,35.009,33.8,27.0,19.269,16.111,17.62,17.711,-11.089,-10.847,-12.331,-5.689,136.0,151.0,146.0,146.0,272.109,268.0,267.0,266.0
126416,2004,0,2003.826,2003.957,2004.043,1410.515,,,,,,,75.174,64.924,0,219.447,219.465,134.631,236.711,275.228,23.155,39.391,22.882,20.173,-6.451,-4.749,-9.538,-10.92,16.491,13.115,12.153,16.364,887.922,1017.922,1020.812,1053.922,127.583,187.693,197.972,191.214,92.228,156.224,166.47,163.47,1803.505,1896.036,1840.036,2006.392,6.0,5.0,10.0,3.0,1293.61,1350.33,976.719,934.965,999.833,1118.43,570.189,1010.947,5110.46,5164.441,4836.816,4545.053,187.417,106.663,116.535,95.885,684.115,692.868,682.868,727.228,122.0,126.0,123.0,134.0,759.885,923.885,768.772,788.663,4.236,4.2,5.2,5.936,371.241,478.241,365.644,372.644,155.356,154.759,141.0,166.356,0.0,0.0,1.0,0.0,201.885,192.885,192.885,217.644,0.0,0.0,0.0,0.0,142.0,90.644,110.365,179.0,220.644,268.644,233.644,228.128,149.644,92.754,151.644,183.0,59.0,59.0,60.0,60.0,61.0,61.0,59.644,59.0,55.0,50.0,60.0,52.0,16.9,17.0,24.1,21.2,12.2,12.312,3.8,9.1,36.0,34.6,28.2,30.5,16.976,18.5,18.5,18.7,-10.813,-12.313,-5.764,-11.124,148.0,143.0,144.0,138.0,270.0,269.0,267.0,272.0
126417,2004,0,2003.739,2003.957,2004.043,1338.063,,,,,,,79.868,61.915,0,216.3,219.84,134.82,237.105,275.82,23.03,39.269,22.744,20.016,-6.497,-4.796,-9.591,-10.974,16.477,13.103,12.13,16.336,890.351,1020.351,1023.16,1056.554,128.469,188.953,199.187,192.289,93.203,157.515,167.617,164.617,1807.011,1898.984,1842.984,2009.866,6.0,5.0,10.0,3.0,1291.27,1347.723,974.18,932.961,998.239,1116.903,568.696,1009.282,5104.818,5158.947,4831.345,4539.845,186.34,105.899,115.735,95.133,684.441,693.176,683.074,727.586,122.191,126.0,123.191,134.0,759.469,923.367,768.09,787.899,4.246,4.219,5.219,5.979,371.117,478.016,365.118,372.118,155.691,154.691,141.191,166.457,0.0,0.0,1.0,0.0,201.367,192.559,192.367,217.25,0.0,0.0,0.0,0.0,141.809,90.309,109.926,178.809,220.707,268.707,233.808,227.973,149.543,92.309,151.309,182.809,59.0,59.0,60.0,60.0,61.0,61.0,59.309,59.0,55.0,50.0,60.0,52.0,16.9,17.0,24.1,21.2,12.2,12.3,3.8,9.1,36.0,34.6,28.2,30.5,16.988,18.519,18.519,18.719,-10.797,-12.297,-5.721,-11.112,148.0,143.0,144.0,138.0,270.0,269.0,267.0,272.0
310381,2005,0,2005.348,2005.391,2006.304,781.968,,,,,2005,2005,91.311,19.127,0,373.432,264.709,169.716,134.123,200.587,22.037,33.062,46.013,30.696,-12.661,-3.77,-4.666,-6.141,16.162,18.424,14.864,12.775,1074.029,779.546,896.54,921.003,227.566,92.542,138.382,148.773,196.54,63.311,113.151,124.31,1973.337,1669.088,1750.106,1715.106,5.0,6.666,5.0,9.0,1224.262,1299.124,1370.404,976.135,1010.38,999.507,1117.713,564.415,4968.341,5227.907,5300.296,4924.529,74.502,234.788,143.849,146.896,726.902,664.311,671.811,664.92,136.127,117.127,121.127,120.0,806.726,831.971,962.173,820.922,4.913,3.813,3.713,4.825,353.938,388.689,487.958,393.207,149.127,151.354,152.0,136.0,0.0,0.0,0.0,1.0,244.207,230.896,227.538,211.393,0.0,0.0,0.0,0.0,181.599,150.873,109.768,116.611,220.873,232.892,255.938,255.207,184.0,158.047,112.0,158.0,57.0,59.0,59.0,60.0,60.0,62.0,61.0,60.0,50.0,55.0,50.0,60.0,14.9,17.7,16.8,25.0,11.925,13.4,13.4,4.191,33.8,35.0,33.8,27.0,19.298,16.113,17.667,17.725,-11.065,-10.833,-12.296,-5.687,136.0,150.964,145.964,146.0,272.354,268.0,267.0,266.0
123329,2004,0,2003.826,2003.957,2004.043,1601.483,,,,,,,72.969,61.089,0,200.039,223.486,137.391,237.99,277.475,22.42,38.57,22.226,19.513,-6.736,-5.075,-9.846,-11.176,16.388,13.032,12.121,16.272,901.32,1031.553,1033.553,1068.384,132.092,194.037,204.037,197.166,96.322,161.756,172.13,169.13,1820.974,1912.935,1856.935,2024.88,6.0,5.0,10.0,3.0,1283.157,1338.259,966.166,924.157,993.119,1111.351,564.296,1003.488,5083.23,5137.761,4810.761,4518.128,182.151,102.815,112.815,92.618,686.425,695.425,685.425,729.706,122.898,126.53,123.898,134.53,755.815,918.908,765.669,785.627,4.305,4.291,5.29,6.053,369.563,475.704,364.106,371.243,156.527,155.0,141.898,167.05,0.0,0.0,1.0,0.0,197.681,190.294,189.815,215.336,0.0,0.0,0.0,0.0,140.473,90.003,108.575,178.102,219.243,267.052,232.102,227.102,149.0,92.003,151.102,182.102,59.0,59.0,60.0,60.0,61.0,61.0,59.093,59.0,55.0,50.0,60.0,52.0,16.9,17.081,24.1,21.2,12.3,12.4,3.868,9.168,36.0,34.6,28.2,30.5,17.076,18.591,18.591,18.79,-10.724,-12.21,-5.695,-11.047,148.0,143.0,144.0,138.0,270.0,269.0,267.0,272.0
