year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3,merch_vol,lumber,lumber_lag1,lumber_lag2,lumber_lag3,rid
2004, 486, 36.00,70.205,29.575,0,279, 792,3.26, 941,3.31, 824,4.19, 876,5.09,28.7,57.0,42.8,57.0,30.7,58.0,31.7,58.0,1.75e+02, 99.0, 89.1, 92.1, 92.6,    1
2004, 976, 84.24,11.997,87.961,0,366, 828,3.00, 970,3.00, 865,3.90, 921,4.80,34.3,57.0,47.3,57.0,36.5,59.0,38.0,59.0,1.47e+02, 99.0, 89.1, 92.1, 92.6,    2
2004, 950, 75.48,58.422,39.414,0,217, 755,3.90, 928,3.90, 780,4.80, 823,5.64,24.0,58.0,40.7,58.0,25.5,60.0,25.4,60.0,1.43e+02, 99.0, 89.1, 92.1, 92.6,    3
2004, 708, 55.12,40.139,58.570,0,294, 790,3.25, 943,3.30, 821,4.20, 871,5.05,28.8,57.0,43.2,57.0,30.6,58.0,31.5,58.0,1.69e+02, 99.0, 89.1, 92.1, 92.6,    4
2004,1243, 60.64,57.045,42.413,0,300, 791,3.24, 944,3.29, 822,4.16, 872,5.05,28.9,57.0,43.4,57.0,30.8,58.0,31.6,58.0,1.80e+02, 99.0, 89.1, 92.1, 92.6,    5
2004,1246, 64.60,37.542,60.409,0,241, 771,3.54, 928,3.57, 799,4.47, 845,5.34,25.8,57.0,40.9,57.0,27.6,58.0,27.9,58.0,8.83e+01, 99.0, 89.1, 92.1, 92.6,    6
2004,1230, 65.94,67.057,28.695,0,215, 754,3.90, 925,3.93, 779,4.82, 820,5.65,23.7,58.0,40.2,58.0,25.1,59.8,24.9,59.7,9.47e+01, 99.0, 89.1, 92.1, 92.6,    7
2004, 375, 39.84,45.355,51.754,0,302, 796,3.20, 947,3.20, 827,4.10, 878,5.00,29.5,57.0,43.8,57.0,31.4,58.0,32.3,58.0,1.29e+02, 99.0, 89.1, 92.1, 92.6,    8
2004, 561, 23.05,37.198,60.861,0,299, 795,3.20, 947,3.22, 827,4.11, 877,5.00,29.4,57.0,43.7,57.0,31.3,58.0,32.1,58.0,1.58e+02, 99.0, 89.1, 92.1, 92.6,    9
2004, 473, 11.33,29.993,68.276,0,309, 797,3.16, 949,3.20, 828,4.10, 879,5.00,29.8,57.0,44.1,57.0,31.6,58.0,32.5,58.0,1.49e+02, 99.0, 89.1, 92.1, 92.6,   10
2004,1749, 70.76,49.588,49.478,0,355, 827,2.99, 970,3.04, 863,3.94, 917,4.84,34.0,57.0,47.2,57.0,36.2,58.2,37.5,59.0,1.43e+02, 99.0, 89.1, 92.1, 92.6,   11
2004,1193, 54.48,55.071,44.930,0,362, 824,2.99, 969,3.00, 860,3.89, 912,4.79,33.7,57.0,47.0,57.0,35.8,58.1,37.0,59.0,1.61e+02, 99.0, 89.1, 92.1, 92.6,   12
2004, 813, 39.20,36.275,62.969,0,305, 796,3.19, 948,3.20, 827,4.10, 877,5.00,29.6,57.0,43.9,57.0,31.4,58.0,32.2,58.0,1.68e+02, 99.0, 89.1, 92.1, 92.6,   13
2004, 777, 35.53,48.856,50.696,0,308, 797,3.20, 949,3.20, 828,4.10, 878,5.00,29.6,57.0,44.0,57.0,31.5,58.0,32.3,58.0,2.03e+02, 99.0, 89.1, 92.1, 92.6,   14
2004, 460, 53.56,43.226,56.692,0,313, 798,3.13, 950,3.20, 829,4.10, 879,5.00,29.9,57.0,44.2,57.0,31.8,58.0,32.6,58.0,2.34e+02, 99.0, 89.1, 92.1, 92.6,   15
2004, 581, 50.04,56.966,43.005,0,316, 798,3.13, 950,3.20, 829,4.10, 878,4.98,29.9,57.0,44.3,57.0,31.8,58.0,32.6,58.0,2.45e+02, 99.0, 89.1, 92.1, 92.6,   16
2004,1072, 28.57,56.667,43.094,0,406, 853,2.81, 992,2.90, 889,3.80, 945,4.70,37.6,58.0,50.3,58.0,39.7,59.0,41.2,59.0,1.56e+02, 99.0, 89.1, 92.1, 92.6,   17
2004,1683, 41.26,51.297,48.093,0,409, 853,2.80, 992,2.90, 889,3.80, 945,4.70,37.7,58.0,50.4,58.0,39.8,59.0,41.3,59.0,1.39e+02, 99.0, 89.1, 92.1, 92.6,   18
2004,1792, 15.08,60.855,39.144,0,410, 853,2.80, 992,2.90, 889,3.80, 945,4.70,37.7,58.0,50.4,58.0,39.8,59.0,41.3,59.0,1.55e+02, 99.0, 89.1, 92.1, 92.6,   19
2004,1565, 27.49,66.802,33.158,0,404, 851,2.84, 991,2.90, 887,3.80, 943,4.70,37.4,58.0,50.1,58.0,39.5,59.0,41.0,59.0,1.49e+02, 99.0, 89.1, 92.1, 92.6,   20
2004, 653, 56.43,39.763,60.083,0,343, 823,3.03, 967,3.10, 858,4.00, 910,4.90,33.2,57.0,46.7,57.0,35.3,58.0,36.4,59.0,1.77e+02, 99.0, 89.1, 92.1, 92.6,   21
2004, 971, 45.80,42.443,57.555,0,364, 847,2.99, 985,3.00, 882,3.90, 939,4.80,36.4,58.0,49.0,57.1,38.4,59.0,39.9,59.0,1.91e+02, 99.0, 89.1, 92.1, 92.6,   22
2004,1211, 34.89,35.212,64.027,0,374, 849,2.95, 987,2.98, 884,3.88, 941,4.79,36.7,58.0,49.4,57.5,38.7,59.0,40.3,59.0,1.91e+02, 99.0, 89.1, 92.1, 92.6,   23
2004, 821, 39.91,62.298,37.648,0,390, 853,2.90, 991,2.98, 889,3.89, 945,4.79,37.4,58.0,50.0,58.0,39.5,59.0,41.0,59.0,1.72e+02, 99.0, 89.1, 92.1, 92.6,   24
2004, 548, 47.88,52.474,47.530,0,370, 826,2.99, 972,3.00, 861,3.90, 913,4.80,34.0,57.0,47.5,57.0,36.1,58.4,37.1,59.0,2.47e+02, 99.0, 89.1, 92.1, 92.6,   25
2004, 604, 45.36,45.158,54.846,0,379, 827,2.95, 973,3.00, 863,3.90, 914,4.80,34.2,57.0,47.7,57.0,36.3,59.0,37.4,59.0,2.15e+02, 99.0, 89.1, 92.1, 92.6,   26
2004, 580, 52.70,60.698,39.246,0,346, 824,3.04, 970,3.10, 859,4.01, 908,4.90,33.4,57.0,47.0,57.0,35.4,58.0,36.3,58.9,1.74e+02, 99.0, 89.1, 92.1, 92.6,   27
2004, 656, 55.40,70.805,29.167,0,359, 825,3.00, 972,3.07, 860,4.00, 910,4.87,33.7,57.0,47.4,57.0,35.7,58.0,36.6,59.0,1.45e+02, 99.0, 89.1, 92.1, 92.6,   28
2004,1338, 15.46,37.815,61.375,0,183, 759,4.00, 917,4.00, 781,5.00, 814,5.80,23.3,58.0,38.8,58.0,24.4,59.0,23.3,59.0,1.51e+02, 99.0, 89.1, 92.1, 92.6,   29
2004,1104, 49.18,65.514,34.388,0,380, 843,3.00, 988,3.00, 879,3.90, 929,4.80,35.9,57.8,49.4,57.0,38.1,59.0,38.9,59.0,1.67e+02, 99.0, 89.1, 92.1, 92.6,   30
2004, 500, 42.62,19.415,78.533,0,310, 818,3.22, 964,3.30, 851,4.20, 897,5.10,31.9,57.0,45.7,57.0,33.9,58.0,34.3,58.4,1.44e+02, 99.0, 89.1, 92.1, 92.6,   31
2004, 430, 59.06,26.994,71.385,0,311, 818,3.22, 964,3.30, 851,4.21, 897,5.10,31.9,57.0,45.8,57.0,33.9,58.0,34.3,58.8,1.79e+02, 99.0, 89.1, 92.1, 92.6,   32
2004,1883, 28.12,31.208,60.624,0,309, 816,3.30, 963,3.30, 849,4.20, 894,5.10,31.6,57.0,45.7,57.0,33.6,58.0,33.9,58.0,1.29e+02, 99.0, 89.1, 92.1, 92.6,   33
2004,1762, 43.84,29.022,60.362,0,306, 815,3.30, 963,3.30, 848,4.22, 894,5.10,31.5,57.0,45.6,57.0,33.5,58.0,33.8,58.1,1.12e+02, 99.0, 89.1, 92.1, 92.6,   34
2004,1913,  6.83,28.031,65.023,0,306, 815,3.30, 963,3.30, 848,4.27, 893,5.10,31.5,57.0,45.6,57.0,33.5,58.0,33.8,58.2,1.30e+02, 99.0, 89.1, 92.1, 92.6,   35
2004,1928, 39.89,21.365,67.570,0,307, 815,3.30, 963,3.30, 848,4.27, 893,5.10,31.5,57.0,45.6,57.0,33.5,58.0,33.8,58.6,1.17e+02, 99.0, 89.1, 92.1, 92.6,   36
2004,2248, 17.88,21.934,69.529,0,315, 816,3.25, 964,3.30, 850,4.21, 895,5.10,31.8,57.0,45.8,57.0,33.8,58.0,34.1,59.0,1.25e+02, 99.0, 89.1, 92.1, 92.6,   37
2004,1766,  4.80,26.026,71.999,0,307, 814,3.30, 962,3.31, 848,4.24, 893,5.11,31.5,57.0,45.5,57.0,33.5,58.0,33.7,58.8,1.51e+02, 99.0, 89.1, 92.1, 92.6,   38
2004,1561,  7.87,24.570,71.138,0,301, 814,3.30, 962,3.31, 847,4.30, 891,5.15,31.2,57.0,45.4,57.0,33.2,58.0,33.4,58.7,1.03e+02, 99.0, 89.1, 92.1, 92.6,   39
2004,1686, 12.59,28.348,61.758,0,302, 814,3.30, 962,3.30, 847,4.30, 891,5.20,31.2,57.0,45.4,57.0,33.2,58.0,33.4,59.0,1.11e+02, 99.0, 89.1, 92.1, 92.6,   40
2004,1532, 12.59,38.207,59.781,0,300, 813,3.30, 962,3.39, 846,4.30, 890,5.20,31.1,57.0,45.3,57.0,33.1,58.0,33.3,59.0,1.62e+02, 99.0, 89.1, 92.1, 92.6,   41
2004,1486, 33.33,31.749,64.720,0,298, 813,3.32, 961,3.40, 846,4.30, 890,5.20,31.0,57.0,45.3,57.0,33.1,58.0,33.2,58.8,1.33e+02, 99.0, 89.1, 92.1, 92.6,   42
2004,1625, 11.93,32.207,67.309,0,288, 798,3.40, 948,3.40, 830,4.33, 870,5.20,29.1,57.0,43.6,57.0,31.1,58.0,30.8,58.0,2.11e+02, 99.0, 89.1, 92.1, 92.6,   43
2004,1897,  7.09,24.862,73.730,0,297, 811,3.40, 962,3.40, 843,4.40, 885,5.20,30.8,57.0,45.4,57.0,32.8,59.0,32.7,59.0,1.49e+02, 99.0, 89.1, 92.1, 92.6,   44
2004,1703, 12.52,25.798,73.473,0,298, 810,3.40, 961,3.40, 842,4.36, 884,5.20,30.7,57.0,45.3,57.0,32.7,59.0,32.6,59.0,1.58e+02, 99.0, 89.1, 92.1, 92.6,   45
2004, 799, 55.60,78.330,21.662,0,306, 802,3.31, 953,3.36, 834,4.30, 873,5.16,29.9,57.0,44.4,57.0,31.8,58.0,31.5,59.0,1.32e+02, 99.0, 89.1, 92.1, 92.6,   46
2004, 814, 39.00,78.954,20.988,0,313, 804,3.30, 955,3.30, 836,4.29, 875,5.10,30.2,57.0,44.7,57.0,32.1,58.0,31.8,59.0,1.43e+02, 99.0, 89.1, 92.1, 92.6,   47
2004,1142, 63.44,66.945,33.045,1,297, 810,3.40, 960,3.44, 843,4.40, 884,5.24,30.6,57.0,45.1,57.0,32.6,58.0,32.4,59.0,1.69e+02, 99.0, 89.1, 92.1, 92.6,   48
2004,1280, 66.34,58.869,41.095,1,326, 815,3.29, 966,3.29, 847,4.28, 889,5.09,31.6,57.0,46.0,57.0,33.5,58.1,33.4,59.0,1.85e+02, 99.0, 89.1, 92.1, 92.6,   49
2004,1222,101.50,10.349,89.526,1,230, 776,3.76, 927,3.78, 801,4.72, 835,5.55,25.7,57.0,40.5,57.0,27.1,58.0,26.1,58.0,1.24e+02, 99.0, 89.1, 92.1, 92.6,   50
2004,1165, 63.78,30.076,68.320,0,257, 781,3.64, 935,3.66, 804,4.60, 838,5.42,26.5,57.0,41.6,57.0,27.8,58.0,26.7,58.0,1.22e+02, 99.0, 89.1, 92.1, 92.6,   51
2004,1029, 49.18,29.534,66.379,0,251, 767,3.86, 927,3.89, 783,4.80, 811,5.60,24.8,58.0,40.6,58.0,25.4,59.0,23.6,59.0,2.06e+02, 99.0, 89.1, 92.1, 92.6,   52
2004,1539, 63.57,12.019,87.962,0,230, 776,3.80, 927,3.80, 801,4.70, 835,5.60,25.7,57.0,40.5,57.0,27.0,58.0,25.9,58.0,1.47e+02, 99.0, 89.1, 92.1, 92.6,   53
2004, 438, 52.52,29.157,68.146,0,340, 804,3.30, 959,3.30, 829,4.29, 863,5.10,30.3,57.0,45.5,57.0,31.7,59.0,30.7,59.0,1.75e+02, 99.0, 89.1, 92.1, 92.6,   54
2004,1173, 43.82,22.405,74.626,0,326, 798,3.40, 954,3.36, 823,4.35, 857,5.20,29.5,57.0,44.7,57.0,30.9,59.0,29.8,59.0,9.96e+01, 99.0, 89.1, 92.1, 92.6,   55
