year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2021,  915, 77.62,89.11,10.19,0,519,1031,5.70,1155,5.01,1233,3.00,1098,4.19,49.1,60.0,65.3,61.0,76.2,59.0,58.3,61.0
2014, -796, 82.34,84.63,15.32,0,455,1135,2.70,1160,3.34, 973,5.34,1004,4.49,66.8,60.0,66.2,60.0,41.5,61.0,47.8,61.0
2013, -440, 83.74,72.48,27.19,0,453,1172,3.44, 981,5.50,1010,4.60, 970,5.22,67.6,61.0,42.5,61.0,48.6,62.0,44.9,63.0
2010, -937, 62.46,84.37,15.56,0,486, 970,5.41,1056,3.51,1167,3.70, 885,4.05,44.1,63.0,60.0,60.0,69.4,59.0,34.3,59.0
2009,  577, 73.38,64.01,33.89,1,224, 876,4.06, 973,4.24, 844,4.56, 983,5.64,37.4,58.0,44.8,57.0,25.9,57.0,43.4,60.0
2012, -729, 55.29,54.00,44.88,0,308, 907,5.80, 961,4.99, 907,5.67, 927,3.67,31.5,59.0,40.9,60.0,34.9,61.0,44.1,58.0
2019,-1055, 71.62,36.13,62.30,0,431,1088,2.90, 974,4.10,1160,4.20, 963,4.80,60.2,58.0,44.4,60.0,65.9,60.0,40.6,58.0
2015,  414,101.44,59.50,39.81,0,210, 835,5.37, 941,4.57, 973,5.16, 809,6.97,23.6,58.0,41.9,61.0,42.0,61.0,17.6,61.0
2018, -873, 79.52,64.45,35.03,0,402, 954,4.10,1158,4.19, 947,4.74, 851,3.90,41.4,59.0,64.9,60.0,38.3,57.0,29.9,56.0
2015, -538, 74.88,73.85,25.61,0,452, 906,4.50,1057,3.53,1092,4.30, 883,6.23,36.5,59.0,58.6,61.0,58.9,62.0,31.0,62.0
2021,-1571, 79.18,71.79,27.97,0,405, 836,5.50, 946,4.69, 984,2.96, 908,4.00,27.6,58.0,44.1,59.0,49.7,58.0,37.6,60.0
