year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2004, -486.5, 36.00,70.205,29.575,0,279, 792,3.26, 941,3.31, 824,4.19, 876,5.09,28.7,57.0,42.8,57.0,30.7,58.0,31.7,58.0
2004, -976.3, 84.24,11.997,87.961,0,366, 828,3.00, 970,3.00, 865,3.90, 921,4.80,34.3,57.0,47.3,57.0,36.5,59.0,38.0,59.0
2004, -949.8, 75.48,58.422,39.414,0,217, 755,3.90, 928,3.90, 780,4.80, 823,5.64,24.0,58.0,40.7,58.0,25.5,60.0,25.4,60.0
2004, -708.5, 55.12,40.139,58.570,0,294, 790,3.25, 943,3.30, 821,4.20, 871,5.05,28.8,57.0,43.2,57.0,30.6,58.0,31.5,58.0
2004,-1243.1, 60.64,57.045,42.413,0,300, 791,3.24, 944,3.29, 822,4.16, 872,5.05,28.9,57.0,43.4,57.0,30.8,58.0,31.6,58.0
2004,-1246.4, 64.60,37.542,60.409,0,241, 771,3.54, 928,3.57, 799,4.47, 845,5.34,25.8,57.0,40.9,57.0,27.6,58.0,27.9,58.0
2004,-1230.4, 65.94,67.057,28.695,0,215, 754,3.90, 925,3.93, 779,4.82, 820,5.65,23.7,58.0,40.2,58.0,25.1,59.8,24.9,59.7
2004, -375.3, 39.84,45.355,51.754,0,302, 796,3.20, 947,3.20, 827,4.10, 878,5.00,29.5,57.0,43.8,57.0,31.4,58.0,32.3,58.0
2004, -560.9, 23.05,37.198,60.861,0,299, 795,3.20, 947,3.22, 827,4.11, 877,5.00,29.4,57.0,43.7,57.0,31.3,58.0,32.1,58.0
2004,  179.4, 48.54,39.872,59.363,0,292, 793,3.22, 945,3.29, 825,4.18, 875,5.03,29.1,57.0,43.4,57.0,31.0,58.0,31.8,58.0
2004, -472.6, 11.33,29.993,68.276,0,309, 797,3.16, 949,3.20, 828,4.10, 879,5.00,29.8,57.0,44.1,57.0,31.6,58.0,32.5,58.0
2004,-1749.2, 70.76,49.588,49.478,0,355, 827,2.99, 970,3.04, 863,3.94, 917,4.84,34.0,57.0,47.2,57.0,36.2,58.2,37.5,59.0
2004,-1192.5, 54.48,55.071,44.930,0,362, 824,2.99, 969,3.00, 860,3.89, 912,4.79,33.7,57.0,47.0,57.0,35.8,58.1,37.0,59.0
2004, -813.0, 39.20,36.275,62.969,0,305, 796,3.19, 948,3.20, 827,4.10, 877,5.00,29.6,57.0,43.9,57.0,31.4,58.0,32.2,58.0
2004, -777.1, 35.53,48.856,50.696,0,308, 797,3.20, 949,3.20, 828,4.10, 878,5.00,29.6,57.0,44.0,57.0,31.5,58.0,32.3,58.0
2004, -460.4, 53.56,43.226,56.692,0,313, 798,3.13, 950,3.20, 829,4.10, 879,5.00,29.9,57.0,44.2,57.0,31.8,58.0,32.6,58.0
2004, -581.3, 50.04,56.966,43.005,0,316, 798,3.13, 950,3.20, 829,4.10, 878,4.98,29.9,57.0,44.3,57.0,31.8,58.0,32.6,58.0
2004,-1072.5, 28.57,56.667,43.094,0,406, 853,2.81, 992,2.90, 889,3.80, 945,4.70,37.6,58.0,50.3,58.0,39.7,59.0,41.2,59.0
