pix,year,brk,brkdate25,brkdate,brkdate95,magnitude,no_brk,fire_year,harv_year,insc_year,hansen_year,canlad_year,for_age,for_con,for_pro,elev,cmd,cmd_lag1,cmd_lag2,cmd_lag3,cmi,cmi_lag1,cmi_lag2,cmi_lag3,cmi_sm,cmi_sm_lag1,cmi_sm_lag2,cmi_sm_lag3,cmi_wt,cmi_wt_lag1,cmi_wt_lag2,cmi_wt_lag3,dd1040,dd1040_lag1,dd1040_lag2,dd1040_lag3,dd18,dd18_lag1,dd18_lag2,dd18_lag3,dd18_sm,dd18_sm_lag1,dd18_sm_lag2,dd18_sm_lag3,dd5,dd5_lag1,dd5_lag2,dd5_lag3,dd5_wt,dd5_wt_lag1,dd5_wt_lag2,dd5_wt_lag3,dd_0,dd_0_lag1,dd_0_lag2,dd_0_lag3,dd_0_wt,dd_0_wt_lag1,dd_0_wt_lag2,dd_0_wt_lag3,dd_18,dd_18_lag1,dd_18_lag2,dd_18_lag3,dd_18_sm,dd_18_sm_lag1,dd_18_sm_lag2,dd_18_sm_lag3,eref,eref_lag1,eref_lag2,eref_lag3,ffp,ffp_lag1,ffp_lag2,ffp_lag3,map,map_lag1,map_lag2,map_lag3,mat,mat_lag1,mat_lag2,mat_lag3,msp,msp_lag1,msp_lag2,msp_lag3,nffd,nffd_lag1,nffd_lag2,nffd_lag3,nffd_wt,nffd_wt_lag1,nffd_wt_lag2,nffd_wt_lag3,pas,pas_lag1,pas_lag2,pas_lag3,pas_sm,pas_sm_lag1,pas_sm_lag2,pas_sm_lag3,pas_wt,pas_wt_lag1,pas_wt_lag2,pas_wt_lag3,ppt_sm,ppt_sm_lag1,ppt_sm_lag2,ppt_sm_lag3,ppt_wt,ppt_wt_lag1,ppt_wt_lag2,ppt_wt_lag3,rh,rh_lag1,rh_lag2,rh_lag3,rh_sm,rh_sm_lag1,rh_sm_lag2,rh_sm_lag3,rh_wt,rh_wt_lag1,rh_wt_lag2,rh_wt_lag3,rad_sm,rad_sm_lag1,rad_sm_lag2,rad_sm_lag3,rad_wt,rad_wt_lag1,rad_wt_lag2,rad_wt_lag3,td,td_lag1,td_lag2,td_lag3,tave_sm,tave_sm_lag1,tave_sm_lag2,tave_sm_lag3,tave_wt,tave_wt_lag1,tave_wt_lag2,tave_wt_lag3,bffp,bffp_lag1,bffp_lag2,bffp_lag3,effp,effp_lag1,effp_lag2,effp_lag3
75820,2004,0,2004.217,2004.304,2004.348,-2074.566,,,,,,,71.447,55.215,0,296.33,195.369,127.956,193.172,230.016,30.978,45.148,32.998,33.134,-3.792,-4.153,-9.934,-8.351,17.439,14.34,15.96,18.522,762.213,889.516,911.01,935.256,90.787,134.306,145.765,138.34,61.173,109.126,121.126,117.79,1637.958,1740.334,1694.35,1844.978,5.0,4.0,7.168,2.0,1416.523,1469.986,1106.034,1027.039,1079.707,1191.751,639.269,1088.147,5394.027,5417.155,5106.992,4775.975,243.68,147.714,150.208,134.66,651.121,665.821,669.171,709.204,114.005,119.005,116.019,126.005,812.21,960.26,845.24,889.24,3.361,3.397,4.302,5.201,392.922,477.879,381.376,415.376,145.005,149.614,130.599,160.0,0.0,0.0,1.0,0.0,245.235,251.922,250.24,244.796,0.0,0.0,0.0,0.0,146.817,119.0,146.859,192.997,238.027,266.816,221.827,241.816,150.995,121.0,180.995,196.817,57.0,57.0,58.0,58.817,61.0,60.0,59.0,58.0,52.0,47.0,57.0,49.0,18.2,17.4,23.9,20.899,12.71,12.582,2.898,8.539,36.0,34.4,28.4,30.3,16.001,17.597,17.697,17.801,-11.783,-13.199,-6.71,-11.999,153.075,148.0,148.995,143.0,268.0,267.0,265.0,269.0
123331,2004,0,2004.087,2004.13,2004.174,-1800.873,,,,,,,72.857,57.147,0,192.367,225.132,138.815,239.687,279.315,22.113,38.256,21.9,19.133,-6.867,-5.208,-9.975,-11.322,16.354,13.006,12.075,16.218,907.551,1037.551,1039.497,1075.812,134.169,197.328,207.627,200.484,98.13,164.468,175.028,172.028,1829.639,1920.998,1864.639,2034.259,6.0,5.0,10.039,3.0,1276.488,1331.449,959.449,918.488,988.618,1106.579,560.477,998.579,5068.224,5123.903,4796.739,4504.263,179.831,101.026,111.026,90.646,687.713,696.674,686.354,731.174,123.0,127.0,124.0,135.0,754.646,917.646,764.646,783.646,4.4,4.364,5.331,6.1,368.961,474.961,363.365,370.646,157.0,155.0,142.039,168.0,0.0,0.0,1.0,0.0,196.011,188.826,188.326,214.326,0.0,0.0,0.0,0.0,140.0,89.685,107.685,177.685,218.961,266.685,231.961,226.685,148.365,91.961,150.685,181.961,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.961,55.0,50.039,60.0,52.0,16.9,17.068,24.1,21.2,12.246,12.358,3.8,9.1,36.0,34.6,28.2,30.5,17.104,18.631,18.664,18.831,-10.696,-12.196,-5.6,-10.996,147.365,143.0,143.224,137.961,270.635,269.315,267.039,272.039
126417,2004,0,2004.391,2004.435,2004.478,-624.985,,,,,,,79.868,61.915,0,216.3,219.84,134.82,237.105,275.82,23.03,39.269,22.744,20.016,-6.497,-4.796,-9.591,-10.974,16.477,13.103,12.13,16.336,890.351,1020.351,1023.16,1056.554,128.469,188.953,199.187,192.289,93.203,157.515,167.617,164.617,1807.011,1898.984,1842.984,2009.866,6.0,5.0,10.0,3.0,1291.27,1347.723,974.18,932.961,998.239,1116.903,568.696,1009.282,5104.818,5158.947,4831.345,4539.845,186.34,105.899,115.735,95.133,684.441,693.176,683.074,727.586,122.191,126.0,123.191,134.0,759.469,923.367,768.09,787.899,4.246,4.219,5.219,5.979,371.117,478.016,365.118,372.118,155.691,154.691,141.191,166.457,0.0,0.0,1.0,0.0,201.367,192.559,192.367,217.25,0.0,0.0,0.0,0.0,141.809,90.309,109.926,178.809,220.707,268.707,233.808,227.973,149.543,92.309,151.309,182.809,59.0,59.0,60.0,60.0,61.0,61.0,59.309,59.0,55.0,50.0,60.0,52.0,16.9,17.0,24.1,21.2,12.2,12.3,3.8,9.1,36.0,34.6,28.2,30.5,16.988,18.519,18.519,18.719,-10.797,-12.297,-5.721,-11.112,148.0,143.0,144.0,138.0,270.0,269.0,267.0,272.0
121193,2004,0,2004.261,2004.391,2004.435,-809.946,,,,,,,64.446,71.836,0,247.363,211.583,131.133,219.865,259.347,25.528,41.002,26.16,24.131,-5.564,-4.557,-9.272,-9.874,16.649,13.272,13.212,17.033,832.003,961.463,971.169,1002.003,109.785,162.466,173.545,165.294,77.457,133.711,145.294,141.294,1732.142,1827.632,1776.46,1935.297,6.0,4.0,9.0,3.0,1344.668,1404.375,1031.084,975.995,1034.128,1154.545,601.379,1046.297,5230.024,5275.363,4949.458,4644.779,211.706,123.571,131.215,111.616,677.948,687.547,677.837,720.948,118.755,122.755,120.082,130.082,773.408,930.371,790.836,816.543,3.875,3.875,4.808,5.608,376.673,479.208,371.963,385.918,151.755,152.755,136.51,163.327,0.0,0.0,1.0,0.0,215.571,210.298,212.326,226.126,0.0,0.0,0.0,0.0,142.38,98.245,122.408,182.918,225.673,266.963,232.718,233.673,147.963,100.245,159.135,186.49,58.0,58.0,59.0,59.0,61.0,60.0,59.0,58.0,53.327,49.0,59.0,50.327,16.8,17.083,24.029,20.98,12.205,12.183,3.583,8.883,36.0,34.475,28.375,30.3,16.508,18.087,18.108,18.287,-11.292,-12.725,-6.213,-11.525,150.245,145.245,146.245,140.245,268.755,268.0,266.0,270.755
122302,2004,0,2004.304,2004.348,2004.478,-1826.944,,,,,,,73.399,61.403,0,182.171,227.713,140.408,240.978,280.838,21.71,37.808,21.524,18.737,-7.03,-5.389,-10.147,-11.47,16.302,12.962,12.042,16.164,914.734,1044.734,1046.056,1083.125,136.58,200.797,211.578,203.877,100.19,167.259,177.728,175.015,1839.317,1929.808,1873.676,2044.024,6.0,5.0,10.632,3.0,1270.485,1324.072,952.75,912.392,984.25,1101.596,556.525,993.549,5053.046,5109.144,4782.144,4489.24,177.076,99.489,109.489,89.346,689.511,698.408,687.747,732.607,123.632,127.0,124.288,135.0,752.621,914.839,762.621,781.714,4.419,4.41,5.378,6.163,367.931,473.38,362.558,369.587,157.288,155.632,142.678,168.194,0.0,0.0,1.0,0.0,193.81,187.346,186.592,213.224,0.0,0.0,0.0,0.0,139.322,89.218,106.587,176.931,217.931,265.54,230.931,225.931,148.19,91.322,150.218,181.322,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.322,55.0,50.0,60.0,52.0,16.9,17.1,24.1,21.2,12.3,12.4,3.806,9.101,36.0,34.6,28.2,30.5,17.168,18.678,18.71,18.878,-10.632,-12.132,-5.581,-10.932,147.19,143.0,143.19,137.322,270.81,269.782,267.678,272.678
70677,2004,0,2004.391,2004.435,2004.478,-1067.563,,,,,,,56.211,51.412,0,308.637,191.286,124.906,190.142,225.791,31.629,45.684,33.631,33.945,-3.515,-3.846,-9.738,-8.072,17.475,14.382,16.054,18.582,751.933,879.622,901.078,925.622,88.381,131.004,142.004,135.004,59.381,106.237,118.004,114.693,1623.527,1727.527,1681.314,1830.22,5.0,4.0,7.0,2.0,1433.328,1485.115,1121.021,1041.021,1089.927,1200.402,647.307,1097.927,5425.014,5446.038,5137.489,4805.038,247.858,150.996,153.307,137.763,649.0,661.099,667.237,707.237,113.381,118.693,116.0,126.0,815.619,963.307,848.996,894.209,3.3,3.3,4.2,5.1,396.0,480.0,383.307,418.094,144.0,149.0,130.0,159.0,0.0,0.0,1.0,0.0,249.996,254.996,254.619,246.901,0.0,0.0,0.0,0.0,147.0,120.0,149.094,193.901,240.0,269.0,222.763,243.094,151.0,121.901,182.0,197.0,57.0,57.0,58.0,58.0,61.0,60.0,59.0,58.0,52.0,47.0,57.0,49.0,18.2,17.4,23.9,20.9,12.8,12.686,3.0,8.6,36.1,34.4,28.4,30.4,15.91,17.5,17.6,17.7,-11.9,-13.3,-6.831,-12.1,154.0,148.0,149.0,143.0,267.0,267.0,265.0,269.0
70678,2004,0,2004.391,2004.435,2004.478,-891.531,,,,,,,45.513,51.434,0,306.307,192.0,125.371,190.406,226.688,31.54,45.611,33.538,33.841,-3.544,-3.872,-9.762,-8.103,17.464,14.369,16.028,18.568,753.298,880.901,902.479,927.104,89.088,131.61,142.61,135.61,59.885,106.61,118.61,115.282,1625.465,1729.386,1682.885,1832.089,5.0,4.0,7.0,2.0,1431.718,1483.514,1119.514,1039.718,1089.0,1199.797,646.718,1097.0,5421.629,5442.957,5134.217,4802.035,247.312,150.594,152.911,137.39,649.282,661.406,667.406,707.406,113.885,119.0,116.0,126.0,815.209,962.833,848.39,893.594,3.3,3.3,4.22,5.1,395.718,479.797,383.0,418.0,144.0,149.0,130.0,159.282,0.0,0.0,1.0,0.0,249.39,254.594,253.797,246.594,0.0,0.0,0.0,0.0,147.0,119.718,149.0,193.594,240.0,269.0,222.594,243.0,151.0,121.181,181.718,197.0,57.0,57.0,58.0,58.115,61.0,60.0,59.0,58.0,52.0,47.0,57.0,49.0,18.2,17.4,23.9,20.9,12.84,12.7,3.0,8.619,36.089,34.4,28.42,30.4,15.941,17.5,17.6,17.728,-11.9,-13.3,-6.8,-12.1,154.0,148.0,149.0,143.0,267.0,267.0,265.0,269.0
14199,2004,0,2004.217,2004.304,2004.522,-560.92,,,,,2004,2004,80.354,57.209,0,299.445,192.94,117.612,197.292,225.94,29.383,43.67,31.283,32.13,-3.637,-3.07,-9.742,-7.971,16.544,13.433,14.962,17.77,755.146,888.403,901.403,929.146,90.612,134.355,144.1,136.1,62.08,109.612,120.612,115.967,1625.758,1737.269,1681.504,1829.722,5.0,4.0,7.0,2.0,1458.954,1507.954,1145.236,1068.954,1105.645,1217.375,664.533,1119.375,5453.451,5464.439,5172.163,4836.663,243.9,146.9,153.388,134.462,650.612,663.213,667.888,707.612,113.0,118.612,115.0,126.0,795.309,946.501,826.645,876.645,3.2,3.221,4.108,5.0,398.787,483.0,380.388,413.112,143.0,149.0,129.888,159.612,0.0,0.0,1.0,0.0,241.309,231.9,250.033,239.92,0.0,0.0,0.0,0.0,144.0,104.0,146.948,186.112,241.112,278.0,223.0,245.92,147.112,105.112,175.0,189.0,57.0,57.0,58.0,58.0,60.0,60.0,58.074,58.0,51.0,47.0,57.0,48.0,18.2,17.6,23.866,21.1,12.8,12.7,3.284,8.6,36.3,34.5,28.8,30.5,16.0,17.6,17.6,17.8,-12.1,-13.5,-7.1,-12.353,154.0,148.0,149.039,143.0,267.0,267.0,264.926,269.0
74792,2004,0,2004.261,2004.304,2004.348,-2641.203,,,,,,,48.142,51.054,0,299.277,193.799,127.157,192.689,229.737,31.124,45.283,33.142,33.31,-3.734,-4.081,-9.883,-8.287,17.446,14.343,15.974,18.536,759.83,886.94,908.618,933.225,90.135,133.689,144.694,137.689,60.947,108.554,120.554,116.982,1634.36,1737.36,1691.36,1841.442,5.0,4.0,7.0,2.0,1421.485,1473.063,1109.458,1030.458,1082.601,1193.467,640.996,1090.462,5400.756,5423.286,5113.416,4782.151,244.311,148.446,150.918,135.311,650.554,662.554,668.847,709.135,114.0,119.0,116.0,126.0,813.018,961.311,846.306,890.311,3.313,3.355,4.3,5.195,393.865,478.446,381.865,415.865,144.947,149.135,130.0,160.0,0.0,0.0,1.0,0.0,246.311,252.865,251.311,244.918,0.0,0.0,0.0,0.0,146.865,119.0,147.446,193.08,238.47,267.131,222.0,242.0,151.0,121.0,181.0,196.84,57.0,57.0,58.0,58.84,61.0,60.0,59.0,58.0,52.0,47.0,57.0,49.0,18.2,17.4,23.9,20.9,12.787,12.601,2.916,8.587,36.0,34.4,28.4,30.3,16.0,17.556,17.656,17.8,-11.8,-13.2,-6.787,-12.0,153.865,148.0,149.0,143.0,268.0,267.0,265.0,269.0
73758,2004,0,2004.261,2004.304,2004.348,-2916.17,,,,,,,52.692,54.737,0,315.221,190.542,124.397,189.205,225.587,31.782,45.828,33.805,34.088,-3.518,-3.863,-9.702,-8.056,17.53,14.441,16.121,18.626,749.207,876.781,898.293,922.885,87.618,129.637,140.547,133.719,58.705,105.128,116.638,113.638,1620.322,1723.931,1678.24,1826.041,5.0,4.0,7.0,2.0,1432.04,1484.436,1120.04,1039.971,1089.068,1199.581,646.39,1096.759,5426.327,5447.75,5138.256,4806.237,248.936,152.281,154.363,138.472,648.445,660.514,666.618,706.618,113.514,118.514,116.0,125.514,816.453,963.94,849.936,894.936,3.251,3.3,4.208,5.1,395.404,479.486,383.486,418.404,144.0,149.0,130.0,159.104,0.0,0.0,1.0,0.0,250.472,257.195,255.363,247.404,0.0,0.0,0.0,0.0,147.486,120.896,149.486,194.0,239.486,268.176,222.486,242.919,151.486,122.554,182.09,197.399,57.0,57.0,58.0,59.0,61.0,60.0,59.0,58.0,52.0,47.0,57.0,49.0,18.2,17.4,23.9,20.8,12.693,12.5,2.809,8.428,36.004,34.4,28.369,30.302,15.9,17.5,17.6,17.7,-11.892,-13.3,-6.818,-12.1,154.0,148.0,149.0,143.0,267.0,267.0,265.0,269.0
