pix,year,brk,brkdate25,brkdate,brkdate95,magnitude,no_brk,fire_year,harv_year,insc_year,hansen_year,canlad_year,for_age,for_con,for_pro,elev,cmd,cmd_lag1,cmd_lag2,cmd_lag3,cmi,cmi_lag1,cmi_lag2,cmi_lag3,cmi_sm,cmi_sm_lag1,cmi_sm_lag2,cmi_sm_lag3,cmi_wt,cmi_wt_lag1,cmi_wt_lag2,cmi_wt_lag3,dd1040,dd1040_lag1,dd1040_lag2,dd1040_lag3,dd18,dd18_lag1,dd18_lag2,dd18_lag3,dd18_sm,dd18_sm_lag1,dd18_sm_lag2,dd18_sm_lag3,dd5,dd5_lag1,dd5_lag2,dd5_lag3,dd5_wt,dd5_wt_lag1,dd5_wt_lag2,dd5_wt_lag3,dd_0,dd_0_lag1,dd_0_lag2,dd_0_lag3,dd_0_wt,dd_0_wt_lag1,dd_0_wt_lag2,dd_0_wt_lag3,dd_18,dd_18_lag1,dd_18_lag2,dd_18_lag3,dd_18_sm,dd_18_sm_lag1,dd_18_sm_lag2,dd_18_sm_lag3,eref,eref_lag1,eref_lag2,eref_lag3,ffp,ffp_lag1,ffp_lag2,ffp_lag3,map,map_lag1,map_lag2,map_lag3,mat,mat_lag1,mat_lag2,mat_lag3,msp,msp_lag1,msp_lag2,msp_lag3,nffd,nffd_lag1,nffd_lag2,nffd_lag3,nffd_wt,nffd_wt_lag1,nffd_wt_lag2,nffd_wt_lag3,pas,pas_lag1,pas_lag2,pas_lag3,pas_sm,pas_sm_lag1,pas_sm_lag2,pas_sm_lag3,pas_wt,pas_wt_lag1,pas_wt_lag2,pas_wt_lag3,ppt_sm,ppt_sm_lag1,ppt_sm_lag2,ppt_sm_lag3,ppt_wt,ppt_wt_lag1,ppt_wt_lag2,ppt_wt_lag3,rh,rh_lag1,rh_lag2,rh_lag3,rh_sm,rh_sm_lag1,rh_sm_lag2,rh_sm_lag3,rh_wt,rh_wt_lag1,rh_wt_lag2,rh_wt_lag3,rad_sm,rad_sm_lag1,rad_sm_lag2,rad_sm_lag3,rad_wt,rad_wt_lag1,rad_wt_lag2,rad_wt_lag3,td,td_lag1,td_lag2,td_lag3,tave_sm,tave_sm_lag1,tave_sm_lag2,tave_sm_lag3,tave_wt,tave_wt_lag1,tave_wt_lag2,tave_wt_lag3,bffp,bffp_lag1,bffp_lag2,bffp_lag3,effp,effp_lag1,effp_lag2,effp_lag3
8046,2004,0,2003.913,2004.0,2004.043,2603.647,,,2004,,2004,2004,100.599,42.498,0,307.533,193.236,115.246,199.677,224.752,29.124,43.63,31.061,31.926,-3.682,-2.881,-9.577,-7.886,16.462,13.328,14.801,17.713,755.653,890.417,901.609,929.336,90.5,134.125,143.791,135.737,62.237,109.362,120.362,115.51,1626.724,1738.836,1681.74,1831.189,5.0,4.0,7.0,2.0,1459.847,1508.138,1146.138,1070.375,1105.288,1217.401,664.885,1119.648,5452.87,5462.748,5172.151,4837.274,243.289,146.628,153.628,134.516,649.221,661.974,666.221,706.221,113.106,119.0,115.106,126.0,791.5,945.36,823.36,873.385,3.2,3.239,4.124,5.0,397.719,482.894,379.719,410.894,143.728,149.106,130.0,160.0,0.0,0.0,1.0,0.0,240.49,228.166,248.982,239.709,0.0,0.0,0.0,0.0,144.0,102.0,146.606,186.0,240.272,279.606,224.0,245.894,147.606,103.0,174.272,189.0,57.0,57.0,58.0,58.0,60.0,60.0,59.0,58.0,51.763,47.0,57.0,48.0,18.2,17.6,23.899,21.1,12.8,12.7,3.3,8.6,36.3,34.5,28.8,30.5,16.011,17.6,17.611,17.8,-12.076,-13.5,-7.1,-12.372,154.0,148.0,149.0,142.719,267.0,267.0,265.0,269.0
8046,2004,0,2004.478,2004.522,2004.652,1033.496,,,2004,,2004,2004,100.599,42.498,0,307.533,193.236,115.246,199.677,224.752,29.124,43.63,31.061,31.926,-3.682,-2.881,-9.577,-7.886,16.462,13.328,14.801,17.713,755.653,890.417,901.609,929.336,90.5,134.125,143.791,135.737,62.237,109.362,120.362,115.51,1626.724,1738.836,1681.74,1831.189,5.0,4.0,7.0,2.0,1459.847,1508.138,1146.138,1070.375,1105.288,1217.401,664.885,1119.648,5452.87,5462.748,5172.151,4837.274,243.289,146.628,153.628,134.516,649.221,661.974,666.221,706.221,113.106,119.0,115.106,126.0,791.5,945.36,823.36,873.385,3.2,3.239,4.124,5.0,397.719,482.894,379.719,410.894,143.728,149.106,130.0,160.0,0.0,0.0,1.0,0.0,240.49,228.166,248.982,239.709,0.0,0.0,0.0,0.0,144.0,102.0,146.606,186.0,240.272,279.606,224.0,245.894,147.606,103.0,174.272,189.0,57.0,57.0,58.0,58.0,60.0,60.0,59.0,58.0,51.763,47.0,57.0,48.0,18.2,17.6,23.899,21.1,12.8,12.7,3.3,8.6,36.3,34.5,28.8,30.5,16.011,17.6,17.611,17.8,-12.076,-13.5,-7.1,-12.372,154.0,148.0,149.0,142.719,267.0,267.0,265.0,269.0
386418,2005,0,2005.522,2005.565,2005.739,1399.497,,,,,,,78.242,24.184,0,379.969,257.409,155.225,141.873,185.709,23.447,36.043,47.47,33.076,-11.609,-2.78,-5.379,-5.423,16.722,18.902,15.595,13.183,1063.958,773.505,884.634,917.293,220.986,89.527,133.619,145.292,191.13,60.434,109.277,121.123,1961.576,1664.964,1738.117,1714.219,5.183,7.0,5.991,9.673,1198.405,1269.558,1342.486,944.328,981.845,981.667,1098.003,546.697,4944.364,5195.756,5278.118,4882.353,77.3,239.87,149.147,147.881,725.43,661.531,669.169,663.434,135.838,117.669,121.173,120.669,816.463,857.963,972.381,842.381,4.966,3.902,3.766,4.966,358.566,396.469,481.989,402.469,148.66,152.669,151.991,137.173,0.0,0.0,0.0,1.183,250.555,230.458,240.142,212.473,0.0,0.0,0.0,0.0,190.081,149.316,119.158,115.912,227.842,238.316,245.316,259.75,193.316,158.408,121.755,162.158,57.009,59.0,59.0,61.0,60.0,63.0,62.0,60.0,50.0,54.0,50.0,60.0,14.907,17.733,17.483,25.333,12.741,14.267,14.225,5.816,33.3,34.7,33.5,26.6,19.202,16.066,17.566,17.702,-10.725,-10.598,-12.098,-5.434,136.327,150.327,145.914,145.158,272.183,268.086,266.996,265.996
387448,2005,0,2005.522,2005.565,2005.652,1069.353,,,,,,,75.361,39.231,0,343.582,264.151,162.77,149.096,192.165,21.622,34.318,45.541,31.277,-12.171,-3.287,-5.919,-5.993,16.47,18.632,15.365,12.955,1088.513,797.808,909.579,940.579,233.592,95.748,142.438,154.947,201.947,65.399,116.881,129.313,1994.229,1697.114,1768.344,1744.827,6.0,7.0,6.0,10.0,1176.969,1243.315,1318.221,920.838,963.753,968.571,1084.288,534.716,4893.843,5141.144,5225.723,4829.231,71.601,229.053,140.97,140.119,730.548,666.614,674.536,668.536,137.217,118.837,122.217,121.837,805.013,847.002,958.948,831.002,5.105,4.065,3.913,5.105,353.681,391.452,475.955,397.452,150.412,153.837,152.229,138.217,0.0,0.0,0.0,2.0,243.616,219.013,232.599,203.484,0.0,0.0,0.0,0.0,187.031,146.518,116.798,111.386,224.934,235.518,242.518,256.518,190.798,156.163,119.452,159.518,57.0,59.0,59.0,61.0,60.0,63.0,62.0,60.0,50.0,54.0,50.0,60.0,14.777,17.616,17.335,25.21,12.516,14.045,14.016,5.616,33.3,34.7,33.5,26.6,19.384,16.205,17.707,17.884,-10.549,-10.435,-11.916,-5.293,136.0,150.0,145.0,144.783,273.0,269.0,267.509,266.0
387449,2005,0,2005.565,2005.609,2005.783,2103.501,,,,,2005,,71.229,38.449,0,333.538,265.804,164.42,151.12,194.12,21.115,33.839,45.003,30.766,-12.326,-3.426,-6.06,-6.153,16.396,18.56,15.3,12.886,1095.016,804.82,916.016,946.757,236.833,97.405,145.077,157.728,204.833,66.714,118.819,131.819,2003.436,1705.834,1776.729,1752.94,6.0,7.0,6.0,10.105,1171.194,1235.104,1311.852,914.18,957.923,965.167,1080.468,531.791,4880.164,5126.36,5211.36,4815.017,70.286,226.272,138.727,138.181,732.12,668.12,675.804,669.804,137.699,119.105,122.699,122.0,802.076,843.76,955.062,827.607,5.17,4.111,3.991,5.17,352.636,389.985,474.286,395.88,150.91,154.0,152.91,138.699,0.0,0.0,0.0,2.0,241.88,216.076,230.313,200.712,0.0,0.0,0.0,0.0,185.985,145.895,115.895,109.985,223.985,234.895,241.895,255.895,189.895,155.895,118.895,158.895,57.0,59.0,59.0,61.0,60.0,63.0,61.895,60.0,50.0,54.0,50.0,60.0,14.709,17.589,17.3,25.174,12.474,13.989,13.974,5.574,33.3,34.7,33.511,26.6,19.411,16.27,17.791,17.911,-10.509,-10.4,-11.889,-5.209,135.895,150.0,145.0,144.301,273.0,269.0,267.91,266.259
123331,2004,0,2004.565,2004.609,2004.739,1733.278,,,,,,,72.857,57.147,0,192.367,225.132,138.815,239.687,279.315,22.113,38.256,21.9,19.133,-6.867,-5.208,-9.975,-11.322,16.354,13.006,12.075,16.218,907.551,1037.551,1039.497,1075.812,134.169,197.328,207.627,200.484,98.13,164.468,175.028,172.028,1829.639,1920.998,1864.639,2034.259,6.0,5.0,10.039,3.0,1276.488,1331.449,959.449,918.488,988.618,1106.579,560.477,998.579,5068.224,5123.903,4796.739,4504.263,179.831,101.026,111.026,90.646,687.713,696.674,686.354,731.174,123.0,127.0,124.0,135.0,754.646,917.646,764.646,783.646,4.4,4.364,5.331,6.1,368.961,474.961,363.365,370.646,157.0,155.0,142.039,168.0,0.0,0.0,1.0,0.0,196.011,188.826,188.326,214.326,0.0,0.0,0.0,0.0,140.0,89.685,107.685,177.685,218.961,266.685,231.961,226.685,148.365,91.961,150.685,181.961,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.961,55.0,50.039,60.0,52.0,16.9,17.068,24.1,21.2,12.246,12.358,3.8,9.1,36.0,34.6,28.2,30.5,17.104,18.631,18.664,18.831,-10.696,-12.196,-5.6,-10.996,147.365,143.0,143.224,137.961,270.635,269.315,267.039,272.039
124360,2004,0,2004.478,2004.522,2004.609,550.69,,,,,,,70.188,55.454,0,192.387,225.514,138.972,240.155,279.293,22.109,38.253,21.873,19.073,-6.878,-5.217,-9.98,-11.343,16.359,13.011,12.057,16.21,908.34,1038.34,1039.822,1076.378,134.673,197.469,207.652,200.943,98.49,164.783,175.287,172.287,1830.874,1921.764,1865.764,2034.984,6.0,5.0,10.182,3.0,1275.317,1330.207,958.134,917.317,987.807,1105.625,559.421,997.697,5066.136,5122.071,4794.712,4502.166,179.327,101.166,111.166,90.437,687.906,696.906,686.628,731.044,123.182,126.752,124.0,134.928,754.62,917.51,764.262,783.342,4.375,4.361,5.352,6.111,368.89,474.955,363.276,370.276,157.11,155.182,142.182,167.752,0.0,0.0,1.0,0.0,195.648,188.955,188.166,214.372,0.0,0.0,0.0,0.0,140.066,89.482,107.372,177.482,218.89,266.554,231.89,226.482,148.482,91.818,150.482,181.89,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.818,55.0,50.182,60.0,52.0,16.9,17.0,24.1,21.2,12.2,12.3,3.8,9.1,36.0,34.6,28.2,30.5,17.111,18.652,18.661,18.852,-10.689,-12.182,-5.589,-10.989,147.386,143.0,143.248,137.818,270.614,269.518,267.182,272.182
125385,2004,0,2004.478,2004.522,2004.652,449.97,,,,,2004,,73.402,60.436,0,206.444,221.285,136.765,238.0,277.1,22.665,38.825,22.445,19.713,-6.655,-4.997,-9.749,-11.107,16.436,13.065,12.137,16.312,896.941,1026.941,1029.324,1062.941,130.656,191.799,202.256,195.256,94.885,159.799,170.55,167.317,1815.411,1907.147,1851.225,2018.765,6.0,5.0,10.0,3.0,1285.956,1341.628,968.814,927.245,994.698,1113.256,565.584,1005.281,5091.42,5145.748,4818.42,4525.834,184.141,104.258,114.258,93.486,685.617,694.556,684.556,729.011,122.617,126.0,123.6,134.0,757.444,920.53,766.847,786.283,4.3,4.291,5.262,6.0,370.061,476.444,364.672,371.672,156.0,155.0,141.328,167.0,0.0,0.0,1.0,0.0,199.115,191.444,190.847,216.175,0.0,0.0,0.0,0.0,141.061,90.086,109.383,178.383,219.655,267.175,232.672,227.383,149.0,92.086,151.086,182.814,59.0,59.0,60.0,60.0,61.0,61.0,59.061,59.0,55.0,50.0,60.0,52.0,16.9,17.0,24.1,21.2,12.3,12.4,3.803,9.103,36.0,34.6,28.2,30.5,17.019,18.591,18.591,18.762,-10.767,-12.267,-5.7,-11.067,148.0,143.0,144.0,138.0,270.0,269.0,267.0,272.0
126419,2004,0,2004.435,2004.478,2004.565,625.188,,,,,,,78.947,67.652,0,190.61,226.165,139.107,240.646,280.149,22.018,38.177,21.727,18.85,-6.924,-5.25,-10.003,-11.417,16.357,13.008,12.014,16.173,911.507,1041.448,1042.977,1079.779,135.909,199.177,209.906,202.505,99.368,166.404,176.439,173.537,1834.479,1925.405,1869.207,2038.978,6.0,5.0,10.495,3.0,1271.149,1325.783,953.759,914.023,984.692,1102.657,556.722,994.459,5058.173,5114.679,4786.944,4495.648,177.829,100.3,110.3,89.667,688.333,697.072,686.897,731.837,123.264,127.035,124.035,135.035,754.366,917.565,763.433,781.898,4.398,4.377,5.36,6.126,368.368,474.928,362.963,369.435,157.066,155.264,142.597,167.976,0.0,0.0,1.0,0.0,195.3,188.163,187.097,213.928,0.0,0.0,0.0,0.0,139.795,89.438,106.494,177.228,218.47,266.403,232.024,226.403,148.438,91.736,150.024,181.736,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.965,55.0,50.737,60.035,52.0,16.9,17.0,24.1,21.2,12.2,12.3,3.8,9.1,36.0,34.6,28.2,30.5,17.153,18.677,18.677,18.86,-10.64,-12.14,-5.57,-10.947,147.059,142.965,143.0,137.438,270.737,269.562,267.264,272.264
121275,2004,0,2004.478,2004.522,2004.609,694.005,,,,,,,70.411,62.238,0,180.838,227.813,140.358,241.351,280.883,21.659,37.764,21.474,18.691,-7.052,-5.4,-10.174,-11.492,16.291,12.955,12.035,16.152,916.162,1046.162,1047.572,1085.0,137.189,201.508,212.46,204.522,100.67,168.05,178.232,175.303,1840.94,1931.984,1875.332,2046.141,6.0,5.0,10.458,3.0,1269.276,1322.97,951.773,911.367,983.598,1101.095,555.949,992.744,5050.336,5106.275,4779.366,4486.427,176.301,99.161,109.161,88.698,689.397,698.332,688.302,732.748,123.458,127.0,124.351,135.0,752.239,914.794,762.33,781.661,4.435,4.4,5.394,6.146,367.62,473.603,362.542,369.542,157.441,155.458,142.874,168.351,0.0,0.0,1.0,0.0,193.33,187.1,186.226,212.698,0.0,0.0,0.0,0.0,139.542,89.0,106.603,176.559,217.71,265.542,231.061,226.061,148.0,91.126,150.061,181.126,59.0,59.0,60.0,60.0,61.0,61.0,59.0,58.139,55.0,50.351,60.0,52.0,16.9,17.1,24.1,21.2,12.217,12.317,3.8,9.1,36.0,34.6,28.2,30.5,17.186,18.7,18.735,18.9,-10.614,-12.113,-5.556,-10.954,147.0,143.0,143.0,137.126,271.0,270.0,267.458,272.458
