pix,year,brk,brkdate25,brkdate,brkdate95,magnitude,no_brk,fire_year,harv_year,insc_year,hansen_year,canlad_year,for_age,for_con,for_pro,elev,cmd,cmd_lag1,cmd_lag2,cmd_lag3,cmi,cmi_lag1,cmi_lag2,cmi_lag3,cmi_sm,cmi_sm_lag1,cmi_sm_lag2,cmi_sm_lag3,cmi_wt,cmi_wt_lag1,cmi_wt_lag2,cmi_wt_lag3,dd1040,dd1040_lag1,dd1040_lag2,dd1040_lag3,dd18,dd18_lag1,dd18_lag2,dd18_lag3,dd18_sm,dd18_sm_lag1,dd18_sm_lag2,dd18_sm_lag3,dd5,dd5_lag1,dd5_lag2,dd5_lag3,dd5_wt,dd5_wt_lag1,dd5_wt_lag2,dd5_wt_lag3,dd_0,dd_0_lag1,dd_0_lag2,dd_0_lag3,dd_0_wt,dd_0_wt_lag1,dd_0_wt_lag2,dd_0_wt_lag3,dd_18,dd_18_lag1,dd_18_lag2,dd_18_lag3,dd_18_sm,dd_18_sm_lag1,dd_18_sm_lag2,dd_18_sm_lag3,eref,eref_lag1,eref_lag2,eref_lag3,ffp,ffp_lag1,ffp_lag2,ffp_lag3,map,map_lag1,map_lag2,map_lag3,mat,mat_lag1,mat_lag2,mat_lag3,msp,msp_lag1,msp_lag2,msp_lag3,nffd,nffd_lag1,nffd_lag2,nffd_lag3,nffd_wt,nffd_wt_lag1,nffd_wt_lag2,nffd_wt_lag3,pas,pas_lag1,pas_lag2,pas_lag3,pas_sm,pas_sm_lag1,pas_sm_lag2,pas_sm_lag3,pas_wt,pas_wt_lag1,pas_wt_lag2,pas_wt_lag3,ppt_sm,ppt_sm_lag1,ppt_sm_lag2,ppt_sm_lag3,ppt_wt,ppt_wt_lag1,ppt_wt_lag2,ppt_wt_lag3,rh,rh_lag1,rh_lag2,rh_lag3,rh_sm,rh_sm_lag1,rh_sm_lag2,rh_sm_lag3,rh_wt,rh_wt_lag1,rh_wt_lag2,rh_wt_lag3,rad_sm,rad_sm_lag1,rad_sm_lag2,rad_sm_lag3,rad_wt,rad_wt_lag1,rad_wt_lag2,rad_wt_lag3,td,td_lag1,td_lag2,td_lag3,tave_sm,tave_sm_lag1,tave_sm_lag2,tave_sm_lag3,tave_wt,tave_wt_lag1,tave_wt_lag2,tave_wt_lag3,bffp,bffp_lag1,bffp_lag2,bffp_lag3,effp,effp_lag1,effp_lag2,effp_lag3
308165,2005,0,2005.348,2005.391,2006.087,672.967,,,,,,,82.398,31.434,0,429.777,248.235,160.04,125.813,163.157,28.249,38.88,52.979,39.323,-10.6,-2.034,-4.475,-5.782,18.443,19.689,16.497,16.201,1000.836,712.164,830.086,864.164,189.523,76.617,112.734,124.157,163.312,50.039,91.117,103.157,1881.648,1581.649,1663.992,1642.531,5.0,6.0,5.0,8.0,1280.797,1361.048,1434.892,1046.009,1036.57,1039.57,1158.57,598.36,5101.478,5385.468,5442.322,5066.744,92.844,267.726,170.843,165.843,716.157,635.619,644.157,655.117,132.0,114.0,118.0,117.039,851.107,873.685,1015.989,891.145,4.412,3.312,3.216,4.4,368.42,397.883,488.843,405.843,143.039,147.117,149.117,132.0,0.0,0.0,0.0,1.0,279.473,272.568,291.263,258.687,0.0,1.0,0.0,0.0,203.882,157.843,141.96,142.552,231.883,242.0,249.883,251.883,206.842,163.842,144.63,183.999,57.0,59.0,58.0,60.0,60.0,62.0,61.0,60.0,49.0,53.0,48.0,59.0,15.604,18.6,17.196,25.096,12.967,14.121,13.963,4.721,33.488,35.1,33.7,27.1,18.712,15.6,17.112,17.304,-11.396,-11.363,-12.796,-6.163,139.0,153.0,148.0,147.883,271.0,267.0,266.0,265.0
308324,2005,0,2005.565,2005.609,2006.174,1070.553,,,,,2005,2005,83.758,12.763,0,378.631,263.867,169.075,132.941,199.648,22.262,33.231,46.252,30.917,-12.612,-3.725,-4.59,-6.097,16.186,18.442,14.87,12.818,1069.347,775.177,891.906,917.051,225.197,91.278,136.771,147.319,194.876,62.222,112.049,123.049,1967.396,1663.296,1744.622,1709.622,5.0,6.13,5.0,9.0,1229.394,1304.342,1375.568,981.62,1013.747,1002.803,1120.991,567.068,4978.643,5239.26,5311.294,4935.794,75.185,236.958,144.951,148.755,726.101,663.675,671.123,664.148,136.13,117.13,121.13,119.697,807.999,832.744,963.869,822.191,4.87,3.78,3.68,4.813,354.57,389.169,488.848,393.877,148.827,151.13,151.697,135.697,0.0,0.0,0.0,1.0,245.044,232.947,228.852,212.743,0.0,0.0,0.0,0.0,181.87,150.87,109.922,117.173,221.152,233.152,256.574,255.726,184.282,158.848,112.0,158.87,57.0,59.0,59.0,60.0,60.0,62.0,61.0,60.0,50.0,55.0,50.0,60.0,14.9,17.7,16.8,25.0,11.9,13.33,13.33,4.1,33.8,35.021,33.8,27.014,19.27,16.113,17.627,17.713,-11.087,-10.87,-12.37,-5.72,136.282,151.0,146.0,146.0,272.13,268.0,267.0,266.0
308326,2005,0,2005.565,2005.609,2006.391,1048.369,,,,,2005,,90.001,20.251,0,388.249,262.199,167.381,130.623,198.598,22.662,33.602,46.667,31.269,-12.468,-3.589,-4.417,-5.943,16.181,18.455,14.881,12.801,1063.272,768.297,886.035,911.06,222.19,90.012,134.459,144.801,191.898,61.434,109.829,120.829,1958.626,1654.548,1736.836,1701.865,5.0,6.0,5.0,9.0,1234.536,1309.565,1381.809,987.434,1017.129,1006.198,1124.419,570.39,4991.459,5253.151,5324.642,4949.569,76.46,239.516,147.199,150.752,724.568,661.939,669.568,662.886,135.683,116.972,121.0,119.284,809.849,834.854,966.305,823.988,4.821,3.728,3.628,4.768,355.345,390.35,490.114,395.032,148.284,150.972,151.284,135.284,0.0,0.0,0.0,1.0,246.061,235.171,230.027,214.377,0.0,0.0,0.0,0.0,181.927,151.317,110.0,118.086,221.797,233.797,257.744,256.317,184.317,159.0,112.0,159.0,57.0,59.0,59.0,60.0,60.0,62.0,61.0,60.0,50.0,55.0,50.0,60.0,14.9,17.7,16.8,25.0,11.9,13.4,13.4,4.101,33.8,35.053,33.8,27.0,19.218,16.068,17.568,17.668,-11.132,-10.903,-12.393,-5.772,136.317,151.0,146.0,146.0,272.0,268.0,267.0,265.683
310381,2005,0,2005.348,2005.391,2006.304,781.968,,,,,2005,2005,91.311,19.127,0,373.432,264.709,169.716,134.123,200.587,22.037,33.062,46.013,30.696,-12.661,-3.77,-4.666,-6.141,16.162,18.424,14.864,12.775,1074.029,779.546,896.54,921.003,227.566,92.542,138.382,148.773,196.54,63.311,113.151,124.31,1973.337,1669.088,1750.106,1715.106,5.0,6.666,5.0,9.0,1224.262,1299.124,1370.404,976.135,1010.38,999.507,1117.713,564.415,4968.341,5227.907,5300.296,4924.529,74.502,234.788,143.849,146.896,726.902,664.311,671.811,664.92,136.127,117.127,121.127,120.0,806.726,831.971,962.173,820.922,4.913,3.813,3.713,4.825,353.938,388.689,487.958,393.207,149.127,151.354,152.0,136.0,0.0,0.0,0.0,1.0,244.207,230.896,227.538,211.393,0.0,0.0,0.0,0.0,181.599,150.873,109.768,116.611,220.873,232.892,255.938,255.207,184.0,158.047,112.0,158.0,57.0,59.0,59.0,60.0,60.0,62.0,61.0,60.0,50.0,55.0,50.0,60.0,14.9,17.7,16.8,25.0,11.925,13.4,13.4,4.191,33.8,35.0,33.8,27.0,19.298,16.113,17.667,17.725,-11.065,-10.833,-12.296,-5.687,136.0,150.964,145.964,146.0,272.354,268.0,267.0,266.0
124272,2004,0,2004.0,2004.043,2004.13,458.737,,,,,2004,,68.81,62.192,0,248.139,213.06,133.145,219.802,260.458,25.514,40.888,26.161,24.092,-5.643,-4.704,-9.364,-9.939,16.707,13.331,13.288,17.083,831.109,959.959,970.7,1000.959,109.717,161.867,173.44,164.688,77.458,133.374,144.867,140.867,1730.911,1826.502,1775.832,1934.567,6.0,4.0,9.0,3.0,1344.529,1404.035,1030.873,975.529,1033.56,1153.74,600.56,1045.331,5230.106,5275.943,4949.106,4644.847,212.626,124.283,131.283,112.283,678.144,687.229,677.723,721.144,118.229,123.0,120.0,130.0,773.362,929.133,791.036,816.198,3.857,3.823,4.823,5.615,375.248,477.277,370.935,384.771,151.573,153.0,136.229,163.229,0.0,0.0,1.0,0.0,216.283,211.427,213.198,226.277,0.0,0.0,0.0,0.0,142.427,99.427,122.771,183.427,224.771,265.248,231.85,232.771,148.0,101.0,159.771,187.0,58.0,58.0,59.0,59.0,61.0,60.0,59.0,58.0,53.0,49.0,59.0,50.0,16.709,17.0,24.0,20.9,12.185,12.126,3.526,8.826,36.0,34.5,28.3,30.391,16.523,18.091,18.115,18.3,-11.277,-12.743,-6.2,-11.5,150.427,145.0,146.0,140.0,269.0,268.0,266.0,270.573
124317,2004,0,2004.478,2004.522,2005.087,328.11,,,,,2004,2004,71.922,67.073,0,233.442,217.481,133.218,229.552,268.0,24.094,39.83,24.285,21.915,-6.134,-4.773,-9.394,-10.458,16.56,13.128,12.621,16.713,858.047,987.872,994.515,1025.774,117.896,174.337,184.905,176.66,84.218,144.303,155.168,151.562,1764.767,1859.734,1805.559,1967.767,6.0,5.0,9.0,3.0,1320.309,1378.172,1004.445,955.309,1017.095,1136.417,585.528,1027.997,5173.886,5222.585,4896.055,4597.487,200.438,115.782,124.782,104.35,680.875,689.875,680.208,724.307,120.0,124.098,121.344,132.0,764.313,923.313,777.313,800.125,4.034,4.034,5.01,5.786,372.135,477.656,368.469,377.656,153.344,154.0,138.344,165.0,0.0,0.0,1.0,0.0,208.313,199.656,202.313,221.656,0.0,0.0,0.0,0.0,142.0,93.656,116.656,181.0,222.0,266.656,233.656,230.656,148.656,95.0,155.0,185.0,58.0,58.0,60.0,59.0,61.0,61.0,59.0,58.0,54.0,49.0,59.0,51.0,16.8,17.0,24.0,21.0,12.2,12.2,3.662,8.9,36.0,34.534,28.234,30.4,16.734,18.3,18.31,18.486,-11.066,-12.547,-5.966,-11.3,149.469,144.135,145.0,139.0,269.344,268.865,267.0,271.0
123213,2004,0,2004.478,2004.522,2005.043,883.313,,,,,2004,,84.326,46.386,0,267.889,209.808,132.78,213.851,255.44,26.656,41.887,27.597,25.986,-5.261,-4.658,-9.439,-9.621,16.961,13.632,13.94,17.525,803.368,931.368,945.902,973.902,101.662,149.705,161.266,152.809,70.32,122.538,134.538,130.441,1694.986,1791.343,1743.343,1898.03,6.0,4.0,8.0,3.0,1367.302,1428.089,1056.038,994.362,1047.901,1168.487,613.585,1060.803,5286.332,5329.553,5004.016,4694.913,225.462,133.928,139.663,121.559,669.095,685.441,676.337,718.756,116.325,121.0,118.098,128.098,780.945,936.14,801.499,830.559,3.659,3.659,4.659,5.459,377.209,476.894,372.313,390.313,149.201,152.0,134.0,162.0,0.0,0.0,1.0,0.0,225.815,222.559,222.559,232.166,0.0,0.0,0.0,0.0,144.41,105.0,129.35,186.799,227.41,264.675,230.218,234.35,149.316,107.0,164.41,190.41,57.0,57.0,59.0,58.903,61.0,60.0,59.0,58.0,52.0,48.0,58.0,49.0,16.5,16.9,23.857,20.694,12.009,11.953,3.294,8.657,36.0,34.4,28.3,30.294,16.306,17.859,17.92,18.059,-11.441,-12.894,-6.38,-11.69,152.0,146.41,147.0,141.799,268.061,267.59,266.0,270.0
123286,2004,0,2004.565,2004.609,2005.13,750.279,,,,,2004,2004,62.28,60.865,0,232.569,217.436,133.271,229.11,267.209,24.136,39.818,24.358,22.018,-6.113,-4.776,-9.393,-10.427,16.569,13.131,12.661,16.743,857.056,987.056,993.861,1025.291,117.965,173.935,184.65,176.075,84.084,144.101,155.101,151.101,1763.392,1858.511,1804.511,1966.48,6.0,5.0,9.136,3.0,1320.909,1379.249,1005.564,955.845,1017.925,1137.21,586.554,1028.58,5176.144,5224.614,4898.164,4599.1,200.899,115.664,124.664,104.664,680.739,689.739,680.11,723.739,119.766,124.252,121.344,131.629,764.261,922.945,777.638,800.546,4.034,4.032,4.988,5.765,372.119,477.89,368.234,377.519,153.344,153.629,138.344,164.629,0.0,0.0,1.0,0.0,208.294,199.89,202.638,221.89,0.0,0.0,0.0,0.0,142.234,93.656,116.89,181.371,222.234,266.656,233.371,230.656,148.656,95.656,155.656,185.371,58.0,58.0,60.0,59.0,61.0,61.0,59.0,58.0,54.0,49.0,59.0,51.0,16.8,17.0,24.0,21.037,12.286,12.3,3.7,8.974,36.014,34.534,28.263,30.4,16.734,18.277,18.288,18.477,-11.066,-12.537,-5.966,-11.337,149.371,144.371,145.0,139.371,269.344,268.629,266.629,271.0
123287,2004,0,2004.609,2004.652,2005.13,891.959,,,,,2004,2004,72.536,64.88,0,239.7,215.772,132.311,228.311,265.951,24.311,40.043,24.551,22.22,-6.048,-4.685,-9.311,-10.35,16.58,13.141,12.665,16.756,851.737,981.737,988.894,1020.077,116.087,171.508,182.508,173.918,82.763,142.185,153.185,149.185,1756.513,1852.19,1798.19,1959.611,6.0,4.749,9.0,3.0,1324.729,1383.405,1009.448,959.478,1020.322,1139.363,588.534,1031.082,5185.776,5233.949,4907.569,4608.82,202.815,117.194,126.194,106.096,679.831,688.831,679.299,722.831,119.281,124.042,121.281,131.281,765.237,924.126,778.396,801.518,4.027,3.979,4.932,5.728,372.677,478.45,368.719,377.97,153.269,153.281,138.019,164.281,0.0,0.0,1.0,0.0,209.377,200.438,203.647,222.45,0.0,0.0,0.0,0.0,142.719,93.719,117.438,181.719,222.719,266.719,233.719,230.719,148.731,95.719,155.719,185.69,58.0,58.0,60.0,59.0,61.0,61.0,59.0,58.0,54.0,49.0,59.0,51.0,16.8,17.0,24.0,21.044,12.244,12.286,3.7,8.944,36.0,34.527,28.228,30.4,16.727,18.228,18.232,18.428,-11.072,-12.572,-5.983,-11.372,149.719,144.719,145.251,139.719,269.171,268.281,266.281,271.0
120092,2004,0,2004.478,2004.652,2004.739,1336.981,,,,,2004,2004,97.301,51.047,0,336.162,195.901,120.633,198.144,235.563,30.051,45.19,31.422,30.393,-4.174,-3.794,-8.68,-8.373,17.431,14.129,14.831,18.219,747.124,873.846,894.094,919.124,86.966,127.955,138.948,131.912,58.724,103.98,115.925,111.925,1621.365,1720.14,1676.04,1821.814,5.0,4.0,7.007,2.0,1405.723,1469.814,1097.701,1028.723,1069.012,1190.759,633.944,1084.696,5402.638,5432.593,5108.667,4794.64,249.804,153.052,156.796,139.998,649.203,659.856,666.217,708.203,113.248,118.708,116.0,125.708,801.764,957.274,826.764,860.29,3.303,3.302,4.301,5.103,385.773,483.813,381.262,404.232,144.939,149.03,130.248,159.248,0.0,0.0,1.0,0.0,245.02,242.012,241.012,243.276,0.0,0.0,0.0,0.0,147.998,113.061,139.745,192.285,232.752,267.752,231.991,240.285,152.061,114.752,172.013,195.752,57.0,57.0,59.0,59.0,61.0,60.0,59.0,58.0,52.0,48.0,58.0,49.0,17.907,17.4,23.975,21.0,12.899,12.722,4.4,9.8,35.791,34.193,28.191,30.091,15.903,17.471,17.525,17.694,-11.702,-13.199,-6.675,-11.975,153.97,148.0,149.0,143.0,267.0,266.248,265.0,268.248
